country_or_area,year,value,category
Austria,1993,4080.8480946679,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United States of America,1994,6650296.59510407,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Slovakia,2007,40725.2998364864,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United States of America,1990,31080.40615943,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Canada,2002,117504.637070844,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Liechtenstein,2001,247.655005960761,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
European Union,1998,4207666.03163804,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Norway,2002,5845.22072585589,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,2011,464885.748926953,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
European Union,1991,23023.0803797629,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Croatia,2006,2334.44929495875,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,1997,1280.07928585081,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Japan,2014,2064.41324463394,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Norway,2005,43548.2302876495,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Switzerland,1993,43556.2764199287,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Monaco,1999,0.115289568,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Cyprus,1991,6121.529001151,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Malta,2014,2483.5367864507,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Czech Republic,1993,135588.565572531,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Czech Republic,2007,94.528443294,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Belarus,2011,91671.727009572,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Lithuania,2013,3031.22069484703,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
France,2004,2626.77729803323,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Ukraine,2005,282.580606035746,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Portugal,2002,4301.61007299425,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Turkey,2008,1896.13812499598,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
United States of America,2006,6042393.61487176,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Luxembourg,2008,48.8091049327359,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Malta,2006,72.5030060826119,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Hungary,1992,3.71454036870409,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
France,1997,70521.2783680232,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Liechtenstein,1995,0.00197672308502,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Canada,1993,631353.636876568,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
New Zealand,2013,80298.3251469851,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Poland,1996,22977.6748655972,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Romania,1993,11438.4210210271,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Australia,1997,320439.116819391,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Germany,1999,1045419.70899266,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Belgium,2002,147240.36528013,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
European Union,2002,295460.485722041,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovakia,2004,51315.162528611,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Cyprus,2012,8769.36602589842,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
European Union,2009,495012.880473162,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Luxembourg,2014,10775.6308538811,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Luxembourg,1995,285.39082112669,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovakia,1998,52993.843018462,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Belgium,1991,148825.699408439,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Hungary,2003,78.40140431178,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Denmark,2007,8033.11864277544,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Japan,1996,1255264.19757618,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Denmark,2006,59162.4996316885,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Greece,2012,5.048571428604,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
United States of America,1996,25919.9050094647,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Croatia,1991,10.3326522,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Portugal,2002,1.9147436298886,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Germany,2001,869.6013591746,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Monaco,1991,1.67470953534925,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Lithuania,1998,23901.3798849324,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Malta,1993,2422.70680375731,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Japan,1996,194.2741310511,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Ukraine,2004,296753.731531998,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Greece,2004,132286.023570031,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Croatia,2004,12.5668812,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
United States of America,1993,29432.6521991305,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Australia,1990,15345.5978582934,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Iceland,2010,3383.55221868805,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
France,2002,35.544820182568,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Netherlands,1998,27791.9754500505,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Finland,1999,58872.9308028447,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Malta,2000,1.4691408,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Belgium,2009,93.308721316284,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Estonia,1998,18705.8234879671,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Australia,2011,101085.537856825,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United States of America,1992,29949.8212950615,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Spain,2007,238.4280378468,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Greece,2013,4670.44097914161,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Estonia,2001,1.6698170064,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Australia,1995,109900.73511074,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Latvia,2014,8.5779036432,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Canada,2002,4270.18947175995,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Ireland,1993,8227.9826710924,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Hungary,1999,75.4652064642,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Romania,2006,35480.8785188678,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Belarus,2003,0.16473,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Croatia,2010,8.9507328,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Denmark,1999,74579.4630263236,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Estonia,2005,1.0327462464,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Finland,1999,71755.398003318,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Hungary,2014,104.096831621616,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Turkey,1997,269942.502958794,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Czech Republic,1998,1.5264379612585,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Cyprus,2004,9144.37142221279,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
France,1992,4906.23797974481,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Spain,2010,234.9021756,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Slovakia,2001,52127.6656030658,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Estonia,2012,19423.3253615838,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Luxembourg,2013,269.43618207575,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Denmark,2000,710.672209729079,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
European Union,2013,3939.09056290682,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Sweden,1990,433.718725744509,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Iceland,2007,591.161640049857,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Cyprus,2011,0.152255094,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Malta,2000,75.9171127750792,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United States of America,2007,6121653.86307212,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
New Zealand,2008,81020.646149607,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovakia,2014,2335.55044444234,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Switzerland,1998,53279.4342421614,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Germany,2003,43482.068802201,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Estonia,2010,1.728838614,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Australia,1996,16609.5867776334,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Estonia,2001,15493.8609887605,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Romania,2002,100655.31311867,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Netherlands,2012,165665.023774753,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Iceland,2013,169.59699994519,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
France,1990,400652.624020681,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United States of America,2011,146080.595742668,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
European Union,2006,5200036.3203393,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Canada,2000,39936.356635356,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Russian Federation,2003,1050.47147256,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Spain,2005,212.887732030637,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Austria,1996,80.25417,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Belgium,2005,144803.082030313,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Latvia,1999,7709.04999256645,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Croatia,2014,22898.8781594815,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Austria,2013,6757.49040393774,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovakia,2006,42.4677645333698,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
United States of America,2011,416521.779163033,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Germany,2011,3163.074968556,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Finland,1996,64038.9222021128,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Liechtenstein,1998,260.338131244919,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Greece,1995,12830.0078211275,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Turkey,2011,53909.3461767295,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United States of America,2004,14563.8227734014,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
United Kingdom,2001,721026.372631867,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovakia,2005,42581.0225015084,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Monaco,1992,0.44358992963016,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Finland,1990,71338.5623970918,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Romania,2009,125528.055603277,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
European Union,1999,5159735.32348517,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
United Kingdom,1990,48778.6072992288,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Ukraine,2006,452089.762758341,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
United Kingdom,2013,56195.5118644143,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Sweden,2006,66923.4245261691,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Norway,1999,316.365282795911,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Switzerland,2002,52318.0948331563,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Greece,2008,131199.951864063,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Norway,2001,473.591877740901,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Romania,2001,149257.929059923,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Norway,2007,56966.3456187061,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Romania,2004,36332.7137709539,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Latvia,2010,7.351170072,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Iceland,1993,88.2399125902694,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Netherlands,1995,231711.592135012,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Belgium,1992,1652.69204601222,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Romania,2006,64.0590924206546,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Iceland,2009,583.347081095975,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Turkey,2003,43383.3566407907,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United States of America,2009,471.796632971868,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Denmark,2000,54148.9049729906,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Russian Federation,1995,13456.5850262383,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Slovenia,2008,14.7352604286568,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Slovakia,2003,50586.5760160679,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Hungary,2012,1.72305427467814,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Netherlands,2000,1902.81320479131,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Malta,2012,3324.49701604246,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Canada,2003,3490.08719858864,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Turkey,2000,44821.5030613892,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Hungary,2009,8090.37983725947,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Lithuania,2003,12605.2382016521,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Iceland,2009,453.296797496436,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Iceland,1991,492.025762962568,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Sweden,2007,65372.6535713726,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,1996,0.959935326308,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Sweden,2008,5936.88253361973,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Greece,2000,127570.605011918,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Australia,2013,526882.667266593,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Iceland,2000,3962.77280646566,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Italy,1995,533449.768572357,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Lithuania,2005,3927.75320855396,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovenia,2002,887.577090324771,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Latvia,1999,0.707732064,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Australia,2001,19182.286785683,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovakia,1990,4997.73829414391,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Belgium,1996,129010.471708927,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Ireland,2014,46.28960962422,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Australia,2006,391134.100909449,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Italy,2002,473504.059244666,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Lithuania,2006,1.5359676,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Malta,2011,67.5062466750124,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Liechtenstein,2003,10.0529496192889,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Cyprus,2010,376.8326965,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Japan,1993,15701.9705704626,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
United Kingdom,2002,1.033054704,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
