suspect_id,crime_id,suspect_name
S157,399149,Suspect_157
S158,79876,Suspect_158
S159,55630,Suspect_159
S160,119106,Suspect_160
S161,176976,Suspect_161
S162,152545,Suspect_162
S163,148853,Suspect_163
S164,106814,Suspect_164
S165,200692,Suspect_165
S166,325699,Suspect_166
S167,273830,Suspect_167
S168,214862,Suspect_168
S169,90892,Suspect_169
S170,15272,Suspect_170
S171,361768,Suspect_171
S172,422821,Suspect_172
S173,219551,Suspect_173
S174,373198,Suspect_174
S175,388579,Suspect_175
S176,219248,Suspect_176
S177,411319,Suspect_177
S178,291991,Suspect_178
S179,262067,Suspect_179
S180,27082,Suspect_180
S181,319152,Suspect_181
S182,226499,Suspect_182
S183,194361,Suspect_183
S184,420816,Suspect_184
S185,474294,Suspect_185
S186,378195,Suspect_186
S187,409859,Suspect_187
S188,153837,Suspect_188
S189,137477,Suspect_189
S190,366516,Suspect_190
S191,417036,Suspect_191
S192,137657,Suspect_192
S193,162678,Suspect_193
S194,494688,Suspect_194
S195,32262,Suspect_195
S196,345221,Suspect_196
S197,221065,Suspect_197
S198,107799,Suspect_198
S199,322549,Suspect_199
S200,194932,Suspect_200
S201,409363,Suspect_201
S202,317107,Suspect_202
S203,185604,Suspect_203
S204,393083,Suspect_204
S205,266361,Suspect_205
S206,486123,Suspect_206
S207,496495,Suspect_207
S208,298846,Suspect_208
S209,367728,Suspect_209
S210,83416,Suspect_210
S211,159679,Suspect_211
S212,308187,Suspect_212
S213,59328,Suspect_213
S214,110603,Suspect_214
S215,153464,Suspect_215
S216,261791,Suspect_216
S217,222206,Suspect_217
S218,76459,Suspect_218
S219,58133,Suspect_219
S220,13390,Suspect_220
S221,357170,Suspect_221
S222,201983,Suspect_222
S223,423192,Suspect_223
S224,470404,Suspect_224
S225,330177,Suspect_225
S226,55631,Suspect_226
S227,205319,Suspect_227
S228,52724,Suspect_228
S229,418639,Suspect_229
S230,245563,Suspect_230
S231,207412,Suspect_231
S232,30289,Suspect_232
S233,5569,Suspect_233
S234,349819,Suspect_234
S235,276967,Suspect_235
S236,454357,Suspect_236
S237,154275,Suspect_237
S238,37059,Suspect_238
S239,180218,Suspect_239
S240,489664,Suspect_240
S241,195793,Suspect_241
S242,397235,Suspect_242
S243,305141,Suspect_243
S244,325159,Suspect_244
S245,414208,Suspect_245
S246,255278,Suspect_246
S247,404730,Suspect_247
S248,353031,Suspect_248
S249,221500,Suspect_249
S250,371330,Suspect_250
S251,302672,Suspect_251
S252,229581,Suspect_252
S253,461847,Suspect_253
S254,332826,Suspect_254
S255,264147,Suspect_255
S256,296334,Suspect_256
S257,154514,Suspect_257
S258,31642,Suspect_258
S259,369922,Suspect_259
S260,71308,Suspect_260
S261,258903,Suspect_261
S262,177839,Suspect_262
S263,249723,Suspect_263
S264,371748,Suspect_264
S265,472609,Suspect_265
S266,33245,Suspect_266
S267,317396,Suspect_267
S268,261024,Suspect_268
S269,182759,Suspect_269
S270,178373,Suspect_270
S271,411057,Suspect_271
S272,246474,Suspect_272
S273,100331,Suspect_273
S274,267907,Suspect_274
S275,403719,Suspect_275
S276,130260,Suspect_276
S277,199747,Suspect_277
S278,170319,Suspect_278
S279,237847,Suspect_279
S280,303853,Suspect_280
S281,111,Suspect_281
S282,58184,Suspect_282
S283,188189,Suspect_283
S284,382420,Suspect_284
S285,377726,Suspect_285
S286,111791,Suspect_286
S287,459560,Suspect_287
S288,224106,Suspect_288
S289,498979,Suspect_289
S290,45537,Suspect_290
S291,430338,Suspect_291
S292,73719,Suspect_292
S293,347123,Suspect_293
S294,353701,Suspect_294
S295,74667,Suspect_295
S296,87541,Suspect_296
S297,246226,Suspect_297
S298,202120,Suspect_298
S299,314837,Suspect_299
S300,164809,Suspect_300
S301,396836,Suspect_301
S302,219908,Suspect_302
S303,437955,Suspect_303
S304,275567,Suspect_304
S305,362409,Suspect_305
S306,315775,Suspect_306
S307,183573,Suspect_307
S308,428174,Suspect_308
S309,475693,Suspect_309
S310,211556,Suspect_310
S311,187820,Suspect_311
S312,266598,Suspect_312
S313,435154,Suspect_313
S314,497386,Suspect_314
S315,444453,Suspect_315
S316,141988,Suspect_316
S317,145872,Suspect_317
S318,54812,Suspect_318
S319,192841,Suspect_319
S320,92276,Suspect_320
S321,57115,Suspect_321
S322,288387,Suspect_322
S323,392338,Suspect_323
S324,66369,Suspect_324
S325,176938,Suspect_325
S326,366180,Suspect_326
S327,189816,Suspect_327
S328,35242,Suspect_328
S329,257395,Suspect_329
S330,447067,Suspect_330
S331,350290,Suspect_331
S332,224158,Suspect_332
S333,287285,Suspect_333
S334,418734,Suspect_334
S335,37007,Suspect_335
S336,356035,Suspect_336
S337,427947,Suspect_337
S338,82946,Suspect_338
S339,308656,Suspect_339
S340,97397,Suspect_340
S341,20381,Suspect_341
S342,131675,Suspect_342
S343,41214,Suspect_343
S344,357535,Suspect_344
S345,136874,Suspect_345
S346,37470,Suspect_346
S347,308576,Suspect_347
S348,333325,Suspect_348
S349,429927,Suspect_349
S350,262159,Suspect_350
S351,87956,Suspect_351
S352,167162,Suspect_352
S353,328267,Suspect_353
S354,229330,Suspect_354
S355,198929,Suspect_355
S356,98749,Suspect_356
S357,117278,Suspect_357
S358,385108,Suspect_358
S359,73746,Suspect_359
S360,199951,Suspect_360
S361,96335,Suspect_361
S362,338752,Suspect_362
S363,219536,Suspect_363
S364,262454,Suspect_364
S365,360471,Suspect_365
S366,399674,Suspect_366
S367,285719,Suspect_367
S368,156270,Suspect_368
S369,22947,Suspect_369
S370,445548,Suspect_370
S371,462373,Suspect_371
S372,130472,Suspect_372
S373,165372,Suspect_373
S374,61550,Suspect_374
S375,271629,Suspect_375
S376,121424,Suspect_376
S377,180959,Suspect_377
S378,22693,Suspect_378
S379,227695,Suspect_379
S380,468241,Suspect_380
S381,445586,Suspect_381
S382,231812,Suspect_382
S383,161575,Suspect_383
S384,115960,Suspect_384
S385,93418,Suspect_385
S386,263200,Suspect_386
S387,263381,Suspect_387
S388,166631,Suspect_388
S389,215149,Suspect_389
S390,309845,Suspect_390
S391,251096,Suspect_391
S392,425518,Suspect_392
S393,428292,Suspect_393
S394,254977,Suspect_394
S395,68635,Suspect_395
S396,295508,Suspect_396
S397,190344,Suspect_397
S398,298595,Suspect_398
S399,97392,Suspect_399
S400,255849,Suspect_400
S401,492787,Suspect_401
S402,19149,Suspect_402
S403,237006,Suspect_403
S404,263946,Suspect_404
S405,429383,Suspect_405
S406,54132,Suspect_406
S407,378401,Suspect_407
S408,312142,Suspect_408
S409,477031,Suspect_409
S410,284614,Suspect_410
S411,30967,Suspect_411
S412,306005,Suspect_412
S413,260326,Suspect_413
S414,366181,Suspect_414
S415,192719,Suspect_415
S416,466751,Suspect_416
S417,372316,Suspect_417
S418,327853,Suspect_418
S419,57705,Suspect_419
S420,393365,Suspect_420
S421,179628,Suspect_421
S422,350930,Suspect_422
S423,7470,Suspect_423
S424,460168,Suspect_424
S425,265124,Suspect_425
S426,329276,Suspect_426
S427,7184,Suspect_427
S428,339293,Suspect_428
S429,235675,Suspect_429
S430,492500,Suspect_430
S431,418566,Suspect_431
S432,208380,Suspect_432
S433,104415,Suspect_433
S434,485395,Suspect_434
S435,457317,Suspect_435
S436,280345,Suspect_436
S437,361264,Suspect_437
S438,378655,Suspect_438
S439,456410,Suspect_439
S440,297685,Suspect_440
S441,118612,Suspect_441
S442,37818,Suspect_442
S443,299865,Suspect_443
S444,223764,Suspect_444
S445,32229,Suspect_445
S446,487262,Suspect_446
S447,306873,Suspect_447
S448,467080,Suspect_448
S449,424101,Suspect_449
S450,411312,Suspect_450
S451,123742,Suspect_451
S452,239046,Suspect_452
S453,27069,Suspect_453
S454,88773,Suspect_454
S455,346809,Suspect_455
S456,259128,Suspect_456
S457,282546,Suspect_457
S458,39937,Suspect_458
S459,335391,Suspect_459
S460,301930,Suspect_460
S461,12969,Suspect_461
S462,121996,Suspect_462
S463,179562,Suspect_463
S464,110767,Suspect_464
S465,241324,Suspect_465
S466,379909,Suspect_466
S467,249725,Suspect_467
S468,79164,Suspect_468
S469,452516,Suspect_469
S470,129696,Suspect_470
S471,250898,Suspect_471
S472,490667,Suspect_472
S473,151966,Suspect_473
S474,476528,Suspect_474
S475,374397,Suspect_475
S476,164106,Suspect_476
S477,283759,Suspect_477
S478,347738,Suspect_478
S479,351646,Suspect_479
S480,112615,Suspect_480
S481,220253,Suspect_481
S482,443266,Suspect_482
S483,190363,Suspect_483
S484,84783,Suspect_484
S485,440843,Suspect_485
S486,474849,Suspect_486
S487,347334,Suspect_487
S488,318668,Suspect_488
S489,136209,Suspect_489
S490,141508,Suspect_490
S491,309504,Suspect_491
S492,141401,Suspect_492
S493,455606,Suspect_493
S494,63013,Suspect_494
S495,487784,Suspect_495
S496,23320,Suspect_496
S497,237268,Suspect_497
S498,148513,Suspect_498
S499,465643,Suspect_499
S500,310844,Suspect_500
S501,252529,Suspect_501
S502,311394,Suspect_502
S503,42734,Suspect_503
S504,35174,Suspect_504
S505,13785,Suspect_505
S506,130197,Suspect_506
S507,440242,Suspect_507
S508,296522,Suspect_508
S509,438467,Suspect_509
S510,353644,Suspect_510
S511,319444,Suspect_511
S512,263507,Suspect_512
S513,313333,Suspect_513
S514,341202,Suspect_514
S515,361907,Suspect_515
S516,464507,Suspect_516
S517,129096,Suspect_517
S518,98820,Suspect_518
S519,232913,Suspect_519
S520,317035,Suspect_520
S521,310174,Suspect_521
S522,173852,Suspect_522
S523,2678,Suspect_523
S524,437608,Suspect_524
S525,405964,Suspect_525
S526,353965,Suspect_526
S527,250364,Suspect_527
S528,7966,Suspect_528
S529,433132,Suspect_529
S530,405533,Suspect_530
S531,124751,Suspect_531
S532,424586,Suspect_532
S533,314649,Suspect_533
S534,229956,Suspect_534
S535,191128,Suspect_535
S536,340136,Suspect_536
S537,220591,Suspect_537
S538,234494,Suspect_538
S539,59029,Suspect_539
S540,392415,Suspect_540
S541,431095,Suspect_541
S542,442557,Suspect_542
S543,67314,Suspect_543
S544,63518,Suspect_544
S545,406377,Suspect_545
S546,356661,Suspect_546
S547,478748,Suspect_547
S548,180078,Suspect_548
S549,408932,Suspect_549
S550,69508,Suspect_550
S551,64615,Suspect_551
S552,342647,Suspect_552
S553,229734,Suspect_553
S554,232555,Suspect_554
S555,124866,Suspect_555
S556,275640,Suspect_556
S557,455090,Suspect_557
S558,477135,Suspect_558
S559,144696,Suspect_559
S560,359848,Suspect_560
S561,6422,Suspect_561
S562,273846,Suspect_562
S563,415279,Suspect_563
S564,119820,Suspect_564
S565,438934,Suspect_565
S566,444476,Suspect_566
S567,152939,Suspect_567
S568,233583,Suspect_568
S569,166698,Suspect_569
S570,421713,Suspect_570
S571,87268,Suspect_571
S572,39981,Suspect_572
S573,361441,Suspect_573
S574,459020,Suspect_574
S575,137903,Suspect_575
S576,11584,Suspect_576
S577,466104,Suspect_577
S578,45129,Suspect_578
S579,176466,Suspect_579
S580,300716,Suspect_580
S581,372114,Suspect_581
S582,47324,Suspect_582
S583,273490,Suspect_583
S584,79589,Suspect_584
S585,108724,Suspect_585
S586,149414,Suspect_586
S587,13988,Suspect_587
S588,446084,Suspect_588
S589,480897,Suspect_589
S590,470990,Suspect_590
S591,439578,Suspect_591
S592,350368,Suspect_592
S593,94423,Suspect_593
S594,75038,Suspect_594
S595,175105,Suspect_595
S596,447451,Suspect_596
S597,93848,Suspect_597
S598,475440,Suspect_598
S599,33803,Suspect_599
S600,482569,Suspect_600
S601,74727,Suspect_601
S602,340661,Suspect_602
S603,254600,Suspect_603
S604,441929,Suspect_604
S605,344199,Suspect_605
S606,345320,Suspect_606
S607,45966,Suspect_607
S608,101232,Suspect_608
S609,81121,Suspect_609
S610,370668,Suspect_610
S611,79658,Suspect_611
S612,277423,Suspect_612
S613,338022,Suspect_613
S614,279268,Suspect_614
S615,369089,Suspect_615
S616,291167,Suspect_616
S617,121874,Suspect_617
S618,57407,Suspect_618
S619,236154,Suspect_619
S620,388698,Suspect_620
S621,265334,Suspect_621
S622,169018,Suspect_622
S623,285784,Suspect_623
S624,492568,Suspect_624
S625,72942,Suspect_625
S626,467901,Suspect_626
S627,145637,Suspect_627
S628,484016,Suspect_628
S629,123139,Suspect_629
S630,205138,Suspect_630
S631,171209,Suspect_631
S632,277481,Suspect_632
S633,204406,Suspect_633
S634,325167,Suspect_634
S635,193843,Suspect_635
S636,127178,Suspect_636
S637,387030,Suspect_637
S638,213971,Suspect_638
S639,388291,Suspect_639
S640,13468,Suspect_640
S641,468485,Suspect_641
S642,430391,Suspect_642
S643,378975,Suspect_643
S644,351461,Suspect_644
S645,185395,Suspect_645
S646,480422,Suspect_646
S647,31537,Suspect_647
S648,182866,Suspect_648
S649,446836,Suspect_649
S650,375805,Suspect_650
S651,73032,Suspect_651
S652,228512,Suspect_652
S653,143640,Suspect_653
S654,220646,Suspect_654
S655,233168,Suspect_655
S656,368526,Suspect_656
S657,464385,Suspect_657
S658,244636,Suspect_658
S659,94530,Suspect_659
S660,236074,Suspect_660
S661,462104,Suspect_661
S662,318380,Suspect_662
S663,90405,Suspect_663
S664,323712,Suspect_664
S665,105018,Suspect_665
S666,356737,Suspect_666
S667,81697,Suspect_667
S668,162004,Suspect_668
S669,263034,Suspect_669
S670,233959,Suspect_670
S671,161022,Suspect_671
S672,139779,Suspect_672
S673,352517,Suspect_673
S674,77465,Suspect_674
S675,324328,Suspect_675
S676,21625,Suspect_676
S677,43274,Suspect_677
S678,26728,Suspect_678
S679,484141,Suspect_679
S680,162296,Suspect_680
S681,387416,Suspect_681
S682,320967,Suspect_682
S683,108072,Suspect_683
S684,163008,Suspect_684
S685,314755,Suspect_685
S686,480808,Suspect_686
S687,340387,Suspect_687
S688,499799,Suspect_688
S689,121193,Suspect_689
S690,389370,Suspect_690
S691,76370,Suspect_691
S692,243543,Suspect_692
S693,365689,Suspect_693
S694,171650,Suspect_694
S695,138067,Suspect_695
S696,246682,Suspect_696
S697,323207,Suspect_697
S698,419164,Suspect_698
S699,178957,Suspect_699
S700,7307,Suspect_700
S701,242814,Suspect_701
S702,66113,Suspect_702
S703,250430,Suspect_703
S704,87917,Suspect_704
S705,112703,Suspect_705
S706,334274,Suspect_706
S707,251009,Suspect_707
S708,208066,Suspect_708
S709,128221,Suspect_709
S710,112567,Suspect_710
S711,393136,Suspect_711
S712,223568,Suspect_712
S713,364615,Suspect_713
S714,383087,Suspect_714
S715,130209,Suspect_715
S716,451305,Suspect_716
S717,72189,Suspect_717
S718,331841,Suspect_718
S719,191449,Suspect_719
S720,237024,Suspect_720
S721,96482,Suspect_721
S722,324611,Suspect_722
S723,442729,Suspect_723
S724,381710,Suspect_724
S725,450109,Suspect_725
S726,140166,Suspect_726
S727,333576,Suspect_727
S728,182189,Suspect_728
S729,5161,Suspect_729
S730,25810,Suspect_730
S731,320578,Suspect_731
S732,459809,Suspect_732
S733,417530,Suspect_733
S734,447,Suspect_734
S735,142541,Suspect_735
S736,308050,Suspect_736
S737,223961,Suspect_737
S738,427449,Suspect_738
S739,360628,Suspect_739
S740,373862,Suspect_740
S741,99905,Suspect_741
S742,309574,Suspect_742
S743,404356,Suspect_743
S744,302396,Suspect_744
S745,103607,Suspect_745
S746,412015,Suspect_746
S747,264583,Suspect_747
S748,210647,Suspect_748
S749,430306,Suspect_749
S750,21834,Suspect_750
S751,198005,Suspect_751
S752,224698,Suspect_752
S753,139721,Suspect_753
S754,201338,Suspect_754
S755,269664,Suspect_755
S756,283689,Suspect_756
S757,172104,Suspect_757
S758,314639,Suspect_758
S759,224934,Suspect_759
S760,222804,Suspect_760
S761,171896,Suspect_761
S762,458391,Suspect_762
S763,408220,Suspect_763
S764,199802,Suspect_764
S765,224903,Suspect_765
S766,389042,Suspect_766
S767,66846,Suspect_767
S768,180144,Suspect_768
S769,436306,Suspect_769
S770,84420,Suspect_770
S771,151593,Suspect_771
S772,194753,Suspect_772
S773,351943,Suspect_773
S774,18095,Suspect_774
S775,420378,Suspect_775
S776,197586,Suspect_776
S777,496008,Suspect_777
S778,290669,Suspect_778
S779,57565,Suspect_779
S780,249302,Suspect_780
S781,103934,Suspect_781
S782,402002,Suspect_782
S783,425830,Suspect_783
S784,91791,Suspect_784
S785,40693,Suspect_785
S786,460036,Suspect_786
S787,440373,Suspect_787
S788,278716,Suspect_788
S789,82941,Suspect_789
S790,225391,Suspect_790
S791,271799,Suspect_791
S792,321506,Suspect_792
S793,172705,Suspect_793
S794,941,Suspect_794
S795,107654,Suspect_795
S796,215671,Suspect_796
S797,406496,Suspect_797
S798,50362,Suspect_798
S799,312860,Suspect_799
S800,446079,Suspect_800
S801,107136,Suspect_801
S802,176096,Suspect_802
S803,234529,Suspect_803
S804,81029,Suspect_804
S805,478521,Suspect_805
S806,322357,Suspect_806
S807,267700,Suspect_807
S808,479191,Suspect_808
S809,233303,Suspect_809
S810,327546,Suspect_810
S811,401016,Suspect_811
S812,262876,Suspect_812
S813,109159,Suspect_813
S814,114467,Suspect_814
S815,328584,Suspect_815
S816,125081,Suspect_816
S817,300317,Suspect_817
S818,429382,Suspect_818
S819,349884,Suspect_819
S820,54150,Suspect_820
S821,142325,Suspect_821
S822,24912,Suspect_822
S823,179836,Suspect_823
S824,244227,Suspect_824
S825,55416,Suspect_825
S826,44674,Suspect_826
S827,253367,Suspect_827
S828,138508,Suspect_828
S829,127211,Suspect_829
S830,245966,Suspect_830
S831,428910,Suspect_831
S832,252614,Suspect_832
S833,280106,Suspect_833
S834,210052,Suspect_834
S835,22946,Suspect_835
S836,454518,Suspect_836
S837,88,Suspect_837
S838,361614,Suspect_838
S839,130522,Suspect_839
S840,488994,Suspect_840
S841,90771,Suspect_841
S842,293629,Suspect_842
S843,354900,Suspect_843
S844,447155,Suspect_844
S845,415790,Suspect_845
S846,114260,Suspect_846
S847,207104,Suspect_847
S848,246946,Suspect_848
S849,289222,Suspect_849
S850,106053,Suspect_850
S851,364991,Suspect_851
S852,23884,Suspect_852
S853,15367,Suspect_853
S854,398410,Suspect_854
S855,254246,Suspect_855
S856,62495,Suspect_856
S857,89393,Suspect_857
S858,345034,Suspect_858
S859,298187,Suspect_859
S860,134083,Suspect_860
S861,344324,Suspect_861
S862,453437,Suspect_862
S863,160225,Suspect_863
S864,371783,Suspect_864
S865,226034,Suspect_865
S866,325061,Suspect_866
S867,400377,Suspect_867
S868,53073,Suspect_868
S869,56534,Suspect_869
S870,99027,Suspect_870
S871,375589,Suspect_871
S872,420834,Suspect_872
S873,360413,Suspect_873
S874,391011,Suspect_874
S875,312338,Suspect_875
S876,201895,Suspect_876
S877,484759,Suspect_877
S878,399342,Suspect_878
S879,80969,Suspect_879
S880,24577,Suspect_880
S881,15566,Suspect_881
S882,368459,Suspect_882
S883,139268,Suspect_883
S884,396091,Suspect_884
S885,92251,Suspect_885
S886,441468,Suspect_886
S887,295278,Suspect_887
S888,351722,Suspect_888
S889,312402,Suspect_889
S890,19960,Suspect_890
S891,497415,Suspect_891
S892,259726,Suspect_892
S893,387146,Suspect_893
S894,318223,Suspect_894
S895,79061,Suspect_895
S896,109742,Suspect_896
S897,102677,Suspect_897
S898,147011,Suspect_898
S899,10816,Suspect_899
S900,195092,Suspect_900
S901,369952,Suspect_901
S902,55868,Suspect_902
S903,67472,Suspect_903
S904,354012,Suspect_904
S905,256606,Suspect_905
S906,356911,Suspect_906
S907,127937,Suspect_907
S908,92656,Suspect_908
S909,393843,Suspect_909
S910,135773,Suspect_910
S911,370090,Suspect_911
S912,474104,Suspect_912
S913,241366,Suspect_913
S914,331588,Suspect_914
S915,246821,Suspect_915
S916,243142,Suspect_916
S917,78948,Suspect_917
S918,423018,Suspect_918
S919,383763,Suspect_919
S920,33012,Suspect_920
S921,476781,Suspect_921
S922,404149,Suspect_922
S923,257168,Suspect_923
S924,476374,Suspect_924
S925,397441,Suspect_925
S926,261813,Suspect_926
S927,214571,Suspect_927
S928,151334,Suspect_928
S929,431364,Suspect_929
S930,334109,Suspect_930
S931,273840,Suspect_931
S932,243609,Suspect_932
S933,123359,Suspect_933
S934,38255,Suspect_934
S935,219208,Suspect_935
S936,280407,Suspect_936
S937,380581,Suspect_937
S938,238383,Suspect_938
S939,280940,Suspect_939
S940,102893,Suspect_940
S941,72666,Suspect_941
S942,161919,Suspect_942
S943,238195,Suspect_943
S944,167240,Suspect_944
S945,134624,Suspect_945
S946,327894,Suspect_946
S947,463721,Suspect_947
S948,365195,Suspect_948
S949,212174,Suspect_949
S950,256184,Suspect_950
S951,220276,Suspect_951
S952,471460,Suspect_952
S953,425726,Suspect_953
S954,149511,Suspect_954
S955,483440,Suspect_955
S956,408523,Suspect_956
S957,495850,Suspect_957
S958,441032,Suspect_958
S959,210285,Suspect_959
S960,62499,Suspect_960
S961,488793,Suspect_961
S962,420886,Suspect_962
S963,179350,Suspect_963
S964,44565,Suspect_964
S965,120238,Suspect_965
S966,193701,Suspect_966
S967,397452,Suspect_967
S968,415755,Suspect_968
S969,339304,Suspect_969
S970,451964,Suspect_970
S971,384159,Suspect_971
S972,28958,Suspect_972
S973,17897,Suspect_973
S974,193955,Suspect_974
S975,223603,Suspect_975
S976,41500,Suspect_976
S977,469028,Suspect_977
S978,425143,Suspect_978
S979,390226,Suspect_979
S980,235577,Suspect_980
S981,366828,Suspect_981
S982,155199,Suspect_982
S983,454589,Suspect_983
S984,464439,Suspect_984
S985,330775,Suspect_985
S986,351754,Suspect_986
S987,108799,Suspect_987
S988,147110,Suspect_988
S989,392387,Suspect_989
S990,499630,Suspect_990
S991,386601,Suspect_991
S992,86040,Suspect_992
S993,150251,Suspect_993
S994,145419,Suspect_994
S995,219884,Suspect_995
S996,93039,Suspect_996
S997,291234,Suspect_997
S998,489489,Suspect_998
S999,37962,Suspect_999
S1000,216591,Suspect_1000
S1001,89783,Suspect_1001
S1002,386590,Suspect_1002
S1003,485374,Suspect_1003
S1004,496969,Suspect_1004
S1005,328252,Suspect_1005
S1006,425310,Suspect_1006
S1007,213921,Suspect_1007
S1008,362474,Suspect_1008
S1009,255512,Suspect_1009
S1010,280346,Suspect_1010
S1011,453266,Suspect_1011
S1012,291797,Suspect_1012
S1013,442608,Suspect_1013
S1014,311287,Suspect_1014
S1015,411728,Suspect_1015
S1016,346877,Suspect_1016
S1017,159573,Suspect_1017
S1018,3196,Suspect_1018
S1019,410002,Suspect_1019
S1020,334658,Suspect_1020
S1021,461272,Suspect_1021
S1022,78795,Suspect_1022
S1023,208814,Suspect_1023
S1024,181982,Suspect_1024
S1025,123222,Suspect_1025
S1026,205415,Suspect_1026
S1027,99452,Suspect_1027
S1028,365576,Suspect_1028
S1029,399396,Suspect_1029
S1030,205919,Suspect_1030
S1031,296821,Suspect_1031
S1032,57271,Suspect_1032
S1033,63959,Suspect_1033
S1034,47173,Suspect_1034
S1035,314292,Suspect_1035
S1036,479764,Suspect_1036
S1037,126829,Suspect_1037
S1038,316123,Suspect_1038
S1039,248739,Suspect_1039
S1040,486968,Suspect_1040
S1041,48493,Suspect_1041
S1042,401064,Suspect_1042
S1043,22455,Suspect_1043
S1044,64727,Suspect_1044
S1045,285623,Suspect_1045
S1046,198985,Suspect_1046
S1047,486754,Suspect_1047
S1048,407111,Suspect_1048
S1049,320857,Suspect_1049
S1050,173516,Suspect_1050
S1051,109195,Suspect_1051
S1052,312941,Suspect_1052
S1053,415974,Suspect_1053
S1054,22826,Suspect_1054
S1055,235160,Suspect_1055
S1056,385337,Suspect_1056
S1057,424362,Suspect_1057
S1058,366456,Suspect_1058
S1059,408130,Suspect_1059
S1060,370118,Suspect_1060
S1061,213700,Suspect_1061
S1062,499027,Suspect_1062
S1063,37839,Suspect_1063
S1064,96182,Suspect_1064
