invoice_id,return_date,return_reason
575-30-8091,2023-10-13,late_delivery
149-14-0304,2023-05-09,wrong_size
382-25-8917,2023-08-28,damaged
832-51-6761,2023-02-15,late_delivery
725-96-3778,2023-12-10,wrong_size
389-25-3394,2023-07-03,late_delivery
725-54-0677,2023-05-11,late_delivery
397-25-8725,2023-06-02,damaged
749-81-8133,2023-05-12,wrong_size
628-34-3388,2023-02-03,late_delivery
102-06-2002,2023-01-23,late_delivery
750-67-8428,2023-02-15,late_delivery
777-67-2495,2023-11-01,wrong_size
291-21-5991,2023-12-01,late_delivery
592-46-1692,2023-02-25,late_delivery
857-67-9057,2023-12-20,damaged
545-07-8534,2023-03-11,wrong_size
237-44-6163,2023-10-23,wrong_size
788-07-8452,2023-08-22,damaged
445-30-9252,2023-10-10,late_delivery
816-57-2053,2023-02-08,damaged
851-28-6367,2023-04-10,wrong_size
247-11-2470,2023-01-27,wrong_size
109-28-2512,2023-04-29,late_delivery
176-78-1170,2023-07-12,late_delivery
704-11-6354,2023-05-13,damaged
396-90-2219,2023-10-11,wrong_size
303-96-2227,2023-12-03,late_delivery
525-09-8450,2023-04-18,late_delivery
721-86-6247,2023-05-31,late_delivery
491-38-3499,2023-07-12,damaged
325-90-8763,2023-07-31,damaged
157-13-5295,2023-03-18,wrong_size
522-57-8364,2023-04-28,damaged
640-48-5028,2023-01-26,damaged
766-85-7061,2023-06-24,damaged
220-68-6701,2023-09-22,wrong_size
510-79-0415,2023-01-09,wrong_size
299-46-1805,2023-07-24,wrong_size
585-03-5943,2023-04-22,damaged
156-20-0370,2023-10-29,damaged
169-52-4504,2023-09-22,late_delivery
551-21-3069,2023-01-02,damaged
400-80-4065,2023-06-21,damaged
278-86-2735,2023-02-08,late_delivery
826-58-8051,2023-04-22,late_delivery
848-24-9445,2023-12-30,wrong_size
802-43-8934,2023-02-13,wrong_size
730-61-8757,2023-12-23,late_delivery
802-70-5316,2023-08-10,wrong_size
873-95-4984,2023-05-16,wrong_size
207-73-1363,2023-04-13,late_delivery
134-54-4720,2023-08-05,damaged
647-50-1224,2023-10-04,damaged
605-03-2706,2023-08-01,wrong_size
756-93-1854,2023-03-18,late_delivery
374-38-5555,2023-04-08,wrong_size
651-96-5970,2023-08-15,damaged
651-88-7328,2023-08-22,wrong_size
173-50-1108,2023-12-10,damaged
788-21-5741,2023-03-15,damaged
641-62-7288,2023-06-01,damaged
252-56-2699,2023-02-23,wrong_size
821-14-9046,2023-02-23,wrong_size
381-20-0914,2023-08-09,wrong_size
190-59-3964,2023-06-06,wrong_size
560-30-5617,2023-09-14,damaged
784-21-9238,2023-10-09,late_delivery
129-29-8530,2023-06-01,wrong_size
752-23-3760,2023-12-05,wrong_size
578-80-7669,2023-11-28,late_delivery
602-16-6955,2023-05-25,late_delivery
371-85-5789,2023-09-03,late_delivery
109-86-4363,2023-09-11,wrong_size
807-14-7833,2023-01-07,late_delivery
848-07-1692,2023-08-25,late_delivery
373-88-1424,2023-04-25,wrong_size
667-92-0055,2023-10-02,late_delivery
214-17-6927,2023-09-29,damaged
214-17-6927,2023-04-18,late_delivery
315-22-5665,2023-10-19,damaged
554-53-8700,2023-09-04,damaged
268-20-3585,2023-11-11,late_delivery
373-14-0504,2023-03-07,late_delivery
187-83-5490,2023-09-23,wrong_size
698-98-5964,2023-02-11,late_delivery
319-50-3348,2023-04-20,wrong_size
790-29-1172,2023-01-09,wrong_size
376-02-8238,2023-12-01,wrong_size
263-87-5680,2023-09-20,wrong_size
886-18-2897,2023-10-11,late_delivery
830-58-2383,2023-04-24,damaged
554-42-2417,2023-09-18,wrong_size
430-02-3888,2023-03-05,late_delivery
210-67-5886,2023-12-26,late_delivery
533-33-5337,2023-06-02,wrong_size
276-54-0879,2023-02-07,damaged
542-41-0513,2023-10-01,late_delivery
785-96-0615,2023-02-01,wrong_size
458-10-8612,2023-06-01,late_delivery
885-56-0389,2023-12-18,damaged
727-17-0390,2023-02-28,late_delivery
556-72-8512,2023-12-16,wrong_size
728-47-9078,2023-05-26,damaged
704-11-6354,2023-04-12,damaged
493-65-6248,2023-08-15,wrong_size
433-08-7822,2023-03-22,damaged
726-29-6793,2023-08-17,late_delivery
894-41-5205,2023-03-19,late_delivery
190-14-3147,2023-11-06,damaged
433-08-7822,2023-04-12,damaged
727-46-3608,2023-10-10,late_delivery
443-82-0585,2023-09-16,late_delivery
810-60-6344,2023-10-29,wrong_size
756-49-0168,2023-01-18,wrong_size
347-56-2442,2023-07-17,wrong_size
355-53-5943,2023-04-04,damaged
745-71-3520,2023-04-01,late_delivery
575-67-1508,2023-08-23,damaged
866-05-7563,2023-08-07,wrong_size
730-61-8757,2023-04-25,wrong_size
651-61-0874,2023-12-08,late_delivery
602-16-6955,2023-05-19,damaged
789-23-8625,2023-10-19,late_delivery
156-95-3964,2023-10-23,wrong_size
760-90-2357,2023-07-31,wrong_size
425-85-2085,2023-06-01,damaged
873-95-4984,2023-10-03,wrong_size
576-31-4774,2023-06-02,damaged
787-87-2010,2023-02-25,wrong_size
794-32-2436,2023-12-05,late_delivery
809-46-1866,2023-12-31,wrong_size
210-57-1719,2023-09-08,late_delivery
219-22-9386,2023-07-15,wrong_size
296-11-7041,2023-05-15,damaged
453-33-6436,2023-02-08,late_delivery
291-55-6563,2023-07-07,late_delivery
301-81-8610,2023-04-21,wrong_size
451-28-5717,2023-06-27,wrong_size
196-01-2849,2023-07-06,damaged
730-61-8757,2023-02-17,damaged
638-60-7125,2023-02-13,late_delivery
468-88-0009,2023-05-17,late_delivery
125-45-2293,2023-02-11,damaged
263-12-5321,2023-01-10,late_delivery
237-44-6163,2023-11-05,wrong_size
420-11-4919,2023-06-24,late_delivery
539-21-7227,2023-08-10,damaged
361-59-0574,2023-06-08,late_delivery
439-54-7422,2023-12-30,damaged
142-72-4741,2023-01-06,late_delivery
766-85-7061,2023-11-20,wrong_size
583-72-1480,2023-04-25,damaged
468-99-7231,2023-03-23,wrong_size
766-85-7061,2023-06-19,wrong_size
834-83-1826,2023-10-02,late_delivery
237-01-6122,2023-12-22,wrong_size
244-08-0162,2023-01-15,late_delivery
592-46-1692,2023-05-09,late_delivery
286-01-5402,2023-12-23,wrong_size
882-40-4577,2023-10-31,wrong_size
318-68-5053,2023-09-13,damaged
318-81-2368,2023-10-15,damaged
838-02-1821,2023-12-11,wrong_size
701-69-8742,2023-10-18,damaged
540-11-4336,2023-11-30,damaged
436-54-4512,2023-10-09,wrong_size
209-61-0206,2023-01-02,late_delivery
751-41-9720,2023-07-08,wrong_size
182-69-8360,2023-10-25,wrong_size
459-50-7686,2023-02-06,late_delivery
808-65-0703,2023-08-25,late_delivery
598-47-9715,2023-12-20,late_delivery
659-36-1684,2023-06-07,damaged
420-11-4919,2023-04-21,wrong_size
702-83-5291,2023-08-12,damaged
462-67-9126,2023-12-10,wrong_size
186-71-5196,2023-10-24,late_delivery
151-33-7434,2023-10-19,late_delivery
734-91-1155,2023-08-09,wrong_size
727-02-1313,2023-11-25,wrong_size
155-45-3814,2023-06-25,damaged
642-61-4706,2023-01-21,damaged
480-63-2856,2023-01-19,wrong_size
550-84-8664,2023-03-29,late_delivery
719-76-3868,2023-12-14,damaged
421-95-9805,2023-08-13,late_delivery
284-54-4231,2023-12-22,late_delivery
355-34-6244,2023-11-06,wrong_size
605-83-1050,2023-02-05,late_delivery
549-84-7482,2023-03-01,damaged
641-96-3695,2023-05-15,late_delivery
550-84-8664,2023-05-22,wrong_size
643-38-7867,2023-04-10,damaged
868-06-0466,2023-09-27,damaged
311-13-6971,2023-09-21,wrong_size
378-24-2715,2023-12-04,late_delivery
301-81-8610,2023-10-20,wrong_size
695-51-0018,2023-06-12,wrong_size
582-52-8065,2023-09-30,late_delivery
550-84-8664,2023-06-30,wrong_size
163-56-7055,2023-10-04,damaged
689-16-9784,2023-11-11,wrong_size
730-70-9830,2023-12-08,wrong_size
664-14-2882,2023-03-26,wrong_size
805-86-0265,2023-12-17,wrong_size
760-90-2357,2023-09-27,damaged
123-35-4896,2023-08-29,late_delivery
729-06-2010,2023-03-14,late_delivery
531-80-1784,2023-08-15,damaged
227-78-1148,2023-04-22,damaged
727-75-6477,2023-05-14,wrong_size
443-82-0585,2023-02-24,late_delivery
268-27-6179,2023-06-04,damaged
760-54-1821,2023-06-18,damaged
315-22-5665,2023-09-20,late_delivery
790-38-4466,2023-04-01,late_delivery
740-22-2500,2023-03-05,damaged
537-72-0426,2023-02-23,late_delivery
735-32-9839,2023-11-24,late_delivery
704-10-4056,2023-04-09,late_delivery
651-96-5970,2023-02-16,wrong_size
745-74-0715,2023-04-03,wrong_size
510-79-0415,2023-09-22,late_delivery
134-54-4720,2023-03-02,damaged
566-71-1091,2023-11-30,late_delivery
319-50-3348,2023-09-25,late_delivery
574-57-9721,2023-12-24,wrong_size
864-24-7918,2023-08-24,damaged
716-39-1409,2023-09-07,damaged
283-26-5248,2023-01-25,wrong_size
490-95-0021,2023-05-05,late_delivery
189-52-0236,2023-02-19,damaged
602-80-9671,2023-12-11,damaged
490-95-0021,2023-01-15,damaged
767-05-1286,2023-11-30,wrong_size
217-58-1179,2023-09-29,damaged
690-01-6631,2023-11-28,damaged
816-72-8853,2023-06-13,damaged
490-29-1201,2023-11-20,wrong_size
878-30-2331,2023-12-13,damaged
284-34-9626,2023-07-06,late_delivery
262-47-2794,2023-07-25,late_delivery
727-46-3608,2023-08-25,damaged
480-63-2856,2023-05-05,late_delivery
699-14-3026,2023-09-18,wrong_size
162-48-8011,2023-07-29,late_delivery
630-74-5166,2024-01-01,damaged
390-17-5806,2023-08-02,damaged
397-25-8725,2023-04-03,wrong_size
151-33-7434,2023-11-01,wrong_size
462-67-9126,2023-08-14,wrong_size
491-38-3499,2023-06-07,damaged
787-15-1757,2023-05-23,wrong_size
794-42-3736,2023-11-25,damaged
862-29-5914,2023-12-03,wrong_size
837-55-7229,2023-02-19,damaged
189-17-4241,2023-04-24,wrong_size
685-64-1609,2023-05-29,damaged
183-21-3799,2023-09-02,late_delivery
400-80-4065,2023-10-30,wrong_size
241-11-2261,2023-12-28,wrong_size
435-13-4908,2023-09-17,wrong_size
587-03-7455,2023-10-22,damaged
210-74-9613,2023-07-11,wrong_size
450-28-2866,2023-11-29,late_delivery
504-35-8843,2023-07-04,wrong_size
340-66-0321,2023-05-10,damaged
389-70-2397,2023-10-17,late_delivery
560-30-5617,2023-07-07,wrong_size
275-28-0149,2023-07-27,wrong_size
540-11-4336,2023-05-12,wrong_size
428-83-5800,2023-06-28,damaged
662-47-5456,2023-12-10,wrong_size
628-34-3388,2023-12-14,wrong_size
676-10-2200,2023-05-24,late_delivery
433-75-6987,2023-10-17,wrong_size
366-93-0948,2023-06-04,wrong_size
578-80-7669,2023-02-02,late_delivery
174-64-0215,2023-08-29,late_delivery
801-88-0346,2023-02-05,damaged
848-62-7243,2023-09-18,late_delivery
186-09-3669,2023-07-07,late_delivery
405-31-3305,2023-07-31,late_delivery
235-06-8510,2023-02-01,wrong_size
191-29-0321,2023-02-04,late_delivery
279-62-1445,2023-04-15,damaged
546-80-2899,2023-01-02,wrong_size
190-59-3964,2023-01-21,late_delivery
636-17-0325,2023-01-17,wrong_size
462-78-5240,2023-09-06,late_delivery
602-16-6955,2023-10-08,wrong_size
838-02-1821,2023-09-13,late_delivery
200-40-6154,2023-01-24,late_delivery
618-34-8551,2023-08-31,late_delivery
725-54-0677,2023-05-27,wrong_size
301-81-8610,2023-05-28,damaged
595-86-2894,2023-12-18,damaged
751-15-6198,2023-03-25,late_delivery
795-49-7276,2023-12-12,wrong_size
783-09-1637,2023-06-19,wrong_size
358-88-9262,2023-12-12,damaged
727-75-6477,2023-08-21,wrong_size
835-16-0096,2023-06-01,late_delivery
857-16-3520,2023-07-20,damaged
627-95-3243,2023-02-25,wrong_size
578-80-7669,2023-09-14,wrong_size
438-23-1242,2023-03-20,late_delivery
228-96-1411,2023-12-07,wrong_size
120-06-4233,2023-08-27,wrong_size
525-09-8450,2023-09-10,damaged
149-15-7606,2023-12-31,damaged
752-23-3760,2023-03-21,wrong_size
538-22-0304,2023-06-30,damaged
740-22-2500,2023-01-06,damaged
584-66-4073,2023-05-15,wrong_size
372-26-1506,2023-02-23,damaged
865-41-9075,2023-12-02,wrong_size
870-76-1733,2023-10-03,wrong_size
549-96-4200,2023-09-05,damaged
410-67-1709,2023-10-07,late_delivery
856-22-8149,2023-11-16,late_delivery
566-19-5475,2023-06-04,damaged
835-16-0096,2023-08-30,late_delivery
263-87-5680,2023-05-01,damaged
674-56-6360,2023-08-14,damaged
744-82-9138,2023-03-16,late_delivery
169-52-4504,2023-08-31,late_delivery
484-22-8230,2023-04-06,late_delivery
787-56-0757,2023-12-27,damaged
219-22-9386,2023-10-06,late_delivery
316-55-4634,2023-01-02,wrong_size
122-61-9553,2023-10-06,damaged
509-10-0516,2023-07-17,damaged
778-71-5554,2023-02-18,wrong_size
687-47-8271,2023-08-16,damaged
750-67-8428,2023-06-25,damaged
868-81-1752,2023-07-24,wrong_size
214-17-6927,2023-10-30,late_delivery
862-29-5914,2023-04-21,wrong_size
305-89-2768,2023-02-09,damaged
174-75-0888,2023-10-09,late_delivery
743-88-1662,2023-08-04,damaged
529-56-3974,2023-07-05,wrong_size
827-44-5872,2023-09-05,wrong_size
227-50-3718,2023-11-24,damaged
778-71-5554,2023-09-02,damaged
869-11-3082,2023-09-12,wrong_size
211-30-9270,2023-06-10,late_delivery
282-35-2475,2023-06-08,late_delivery
836-82-5858,2023-05-07,late_delivery
604-70-6476,2023-10-10,late_delivery
692-92-5582,2023-08-13,damaged
851-98-3555,2023-01-03,damaged
862-17-9201,2023-10-02,wrong_size
687-47-8271,2023-08-26,damaged
410-67-1709,2023-08-31,late_delivery
642-32-2990,2023-07-28,late_delivery
790-38-4466,2023-07-27,wrong_size
420-11-4919,2023-05-06,wrong_size
291-32-1427,2023-01-27,wrong_size
510-95-6347,2023-04-21,wrong_size
563-36-9814,2023-01-05,damaged
364-33-8584,2023-02-23,late_delivery
482-17-1179,2023-09-14,late_delivery
782-95-9291,2023-11-23,late_delivery
665-63-9737,2023-03-08,damaged
824-88-3614,2023-06-09,damaged
211-05-0490,2023-08-17,wrong_size
430-02-3888,2023-11-15,late_delivery
283-79-9594,2023-01-17,late_delivery
142-63-6033,2023-02-11,damaged
534-53-3526,2023-07-04,wrong_size
407-63-8975,2023-12-20,late_delivery
760-27-5490,2023-04-07,late_delivery
277-35-5865,2023-06-10,late_delivery
613-59-9758,2023-01-23,wrong_size
217-58-1179,2023-09-12,wrong_size
131-15-8856,2023-07-08,wrong_size
198-66-9832,2023-02-15,late_delivery
227-50-3718,2023-11-06,wrong_size
239-10-7476,2023-11-19,late_delivery
443-60-9639,2023-09-06,damaged
639-76-1242,2023-08-22,damaged
212-62-1842,2023-06-13,wrong_size
750-67-8428,2023-08-12,late_delivery
868-52-7573,2023-12-30,damaged
560-30-5617,2023-09-29,late_delivery
730-61-8757,2023-10-05,late_delivery
645-44-1170,2023-08-20,late_delivery
649-11-3678,2023-06-21,damaged
221-25-5073,2023-02-01,wrong_size
