id,soil_ph,soil_type
117,7.4,sandy_loam
118,6.2,peat
119,6.4,peat
120,6.8,peat
121,6.9,sandy_loam
122,6.7,peat
123,6.9,peat
124,5.6,peat
125,5.5,peat
126,6.2,peat
127,6.4,clay
128,6.2,sandy_loam
129,5.8,peat
130,6.3,peat
131,7.5,sandy_loam
132,7.4,sandy_loam
133,5.6,sandy_loam
134,6.0,peat
135,6.4,peat
136,6.0,clay
137,6.9,clay
138,7.4,peat
139,6.4,peat
140,7.1,peat
141,6.7,sandy_loam
142,7.5,peat
143,6.6,clay
144,6.5,sandy_loam
145,5.8,clay
146,5.9,clay
147,5.5,peat
148,6.2,peat
149,5.6,clay
150,6.9,clay
151,7.4,peat
152,7.5,clay
153,6.1,clay
154,7.2,sandy_loam
155,6.7,peat
156,5.9,clay
157,5.6,clay
158,6.7,clay
159,5.6,sandy_loam
160,6.5,clay
161,5.9,sandy_loam
162,6.0,sandy_loam
163,6.7,peat
164,5.6,sandy_loam
165,6.7,sandy_loam
166,5.6,clay
167,5.5,clay
168,6.8,peat
169,5.9,sandy_loam
170,6.3,peat
171,6.8,clay
172,6.4,peat
173,6.1,peat
174,6.3,clay
175,6.8,peat
176,5.5,sandy_loam
177,7.1,sandy_loam
178,6.8,clay
179,6.2,sandy_loam
180,6.4,sandy_loam
181,6.9,sandy_loam
182,6.3,peat
183,6.7,clay
184,5.6,sandy_loam
185,7.5,clay
186,6.1,clay
187,7.2,peat
188,7.0,clay
189,6.3,peat
190,6.6,sandy_loam
191,7.5,sandy_loam
192,6.1,sandy_loam
193,7.0,sandy_loam
194,6.4,clay
195,7.3,clay
196,6.9,peat
197,6.8,clay
198,6.4,sandy_loam
199,7.1,clay
200,6.9,peat
201,5.6,peat
202,5.9,clay
203,7.4,sandy_loam
204,6.1,peat
205,6.3,peat
206,6.9,sandy_loam
207,6.6,sandy_loam
208,6.1,clay
209,7.2,peat
210,5.7,sandy_loam
211,7.0,sandy_loam
212,6.6,clay
213,7.4,clay
214,6.1,sandy_loam
215,5.5,clay
216,6.2,sandy_loam
217,5.6,clay
218,7.5,peat
219,6.4,clay
220,7.2,sandy_loam
221,6.0,clay
222,6.3,clay
223,6.0,clay
224,6.9,clay
225,7.1,peat
226,6.7,clay
227,5.9,clay
228,5.9,peat
229,7.0,peat
230,7.4,clay
231,6.5,peat
232,6.1,peat
233,7.3,peat
234,5.9,clay
235,5.6,clay
236,6.3,sandy_loam
237,6.8,sandy_loam
238,6.9,clay
239,7.1,peat
240,5.8,clay
241,5.8,clay
242,6.7,peat
243,6.0,sandy_loam
244,7.2,peat
245,7.0,sandy_loam
246,5.5,sandy_loam
247,5.8,peat
248,6.5,sandy_loam
249,6.0,peat
250,6.7,peat
251,5.7,sandy_loam
252,6.0,sandy_loam
253,6.2,sandy_loam
254,5.7,sandy_loam
255,7.0,peat
256,7.1,sandy_loam
257,6.9,peat
258,6.0,peat
259,6.8,clay
260,6.2,sandy_loam
261,6.6,clay
262,5.9,clay
263,7.1,clay
264,6.3,sandy_loam
265,6.4,clay
266,6.4,clay
267,6.4,clay
268,7.2,clay
269,5.9,peat
270,5.7,peat
271,6.0,sandy_loam
272,5.8,sandy_loam
273,6.3,sandy_loam
274,7.5,sandy_loam
275,6.5,peat
276,7.3,peat
277,5.5,sandy_loam
278,5.7,sandy_loam
279,6.3,peat
280,6.0,peat
281,6.9,peat
282,6.1,sandy_loam
283,7.5,peat
284,7.2,clay
285,7.0,peat
286,7.4,clay
287,6.8,sandy_loam
288,7.0,sandy_loam
289,5.5,sandy_loam
290,6.8,sandy_loam
291,6.5,clay
292,5.7,sandy_loam
293,6.3,peat
294,6.4,peat
295,6.1,clay
296,6.7,clay
297,6.7,sandy_loam
298,6.0,sandy_loam
299,6.4,clay
300,6.1,peat
301,5.5,clay
302,6.4,clay
303,7.0,peat
304,6.3,sandy_loam
305,5.9,peat
306,5.7,sandy_loam
307,7.0,clay
308,6.9,peat
309,5.5,peat
310,6.8,peat
311,6.0,peat
312,7.4,peat
313,6.3,peat
314,6.9,peat
315,7.3,clay
316,5.5,sandy_loam
317,5.7,clay
318,6.5,clay
319,6.6,sandy_loam
320,7.1,peat
321,6.1,clay
322,6.1,sandy_loam
323,6.1,peat
324,6.2,clay
325,6.5,sandy_loam
326,5.8,sandy_loam
327,6.1,peat
328,5.9,sandy_loam
329,7.4,clay
330,7.4,clay
331,5.7,sandy_loam
332,7.1,peat
333,7.5,sandy_loam
334,5.7,peat
335,6.9,peat
336,6.5,peat
337,6.0,clay
338,5.8,sandy_loam
339,6.3,clay
340,6.4,sandy_loam
341,7.3,sandy_loam
342,5.7,peat
343,6.4,peat
344,6.9,sandy_loam
345,6.7,peat
346,6.7,clay
347,6.3,peat
348,7.4,sandy_loam
349,7.3,peat
350,7.0,sandy_loam
351,7.3,peat
352,7.4,sandy_loam
353,6.2,peat
354,5.5,peat
355,5.8,sandy_loam
356,6.7,clay
357,5.7,peat
358,7.5,clay
359,5.6,sandy_loam
360,6.8,peat
361,6.6,clay
362,7.2,peat
363,6.6,sandy_loam
364,6.6,sandy_loam
365,6.4,peat
366,6.1,peat
367,6.7,sandy_loam
368,7.2,clay
369,7.1,peat
370,6.5,peat
371,5.6,sandy_loam
372,6.3,sandy_loam
373,6.7,sandy_loam
374,7.3,peat
375,7.5,peat
376,7.2,clay
377,7.4,clay
378,6.4,clay
379,5.7,peat
380,7.2,clay
381,6.4,clay
382,5.7,clay
383,7.1,clay
384,7.4,sandy_loam
385,6.8,sandy_loam
386,6.7,clay
387,7.4,clay
388,6.6,peat
389,7.3,clay
390,6.9,clay
391,6.4,peat
392,7.2,sandy_loam
393,7.2,sandy_loam
394,6.3,peat
395,5.7,sandy_loam
396,7.0,sandy_loam
397,5.8,clay
398,6.5,peat
399,6.6,clay
400,6.8,clay
401,6.6,clay
402,6.7,peat
403,6.6,sandy_loam
404,5.6,clay
405,5.9,sandy_loam
406,6.1,clay
407,6.0,clay
408,6.2,clay
409,7.2,clay
410,6.8,sandy_loam
411,6.5,sandy_loam
412,5.5,clay
413,7.0,clay
414,5.6,clay
415,7.2,peat
416,7.1,sandy_loam
417,6.0,sandy_loam
418,7.1,peat
419,5.5,sandy_loam
420,6.0,peat
421,6.0,sandy_loam
422,5.6,clay
423,7.2,sandy_loam
424,7.2,peat
425,6.3,sandy_loam
426,5.7,peat
427,6.0,sandy_loam
428,6.5,sandy_loam
429,6.4,peat
430,6.2,clay
431,5.9,peat
432,6.1,sandy_loam
433,6.2,peat
434,7.3,sandy_loam
435,5.6,sandy_loam
436,6.2,peat
437,6.4,clay
438,6.9,clay
439,6.9,sandy_loam
440,7.1,clay
441,6.7,clay
442,7.0,sandy_loam
443,7.4,sandy_loam
444,7.1,clay
445,6.4,clay
446,7.1,peat
447,7.0,sandy_loam
448,7.0,peat
449,6.9,sandy_loam
450,6.2,clay
451,7.3,sandy_loam
452,7.3,sandy_loam
453,6.0,sandy_loam
454,6.1,clay
455,7.4,clay
456,6.6,sandy_loam
457,7.2,sandy_loam
458,6.5,sandy_loam
459,6.8,sandy_loam
460,5.9,sandy_loam
461,7.0,sandy_loam
462,6.6,peat
463,6.7,peat
464,6.6,sandy_loam
465,5.7,sandy_loam
466,7.3,clay
467,6.4,peat
468,5.6,clay
469,6.3,clay
470,6.6,clay
471,5.9,peat
472,6.9,sandy_loam
473,6.1,sandy_loam
474,6.9,sandy_loam
475,6.5,peat
476,5.7,clay
477,6.3,clay
478,6.1,peat
479,6.4,sandy_loam
480,6.6,clay
481,5.6,clay
482,5.9,clay
483,5.8,sandy_loam
484,6.3,sandy_loam
485,6.7,peat
486,6.8,sandy_loam
487,7.2,peat
488,6.7,clay
489,6.0,sandy_loam
490,6.9,clay
491,7.1,sandy_loam
492,6.1,peat
493,6.5,peat
494,7.3,clay
495,6.4,peat
496,6.6,peat
497,7.0,clay
498,7.0,sandy_loam
499,6.6,sandy_loam
500,6.9,sandy_loam
501,5.7,sandy_loam
502,7.1,sandy_loam
503,6.1,sandy_loam
504,5.8,sandy_loam
505,6.2,peat
506,6.9,sandy_loam
507,6.3,peat
508,6.1,clay
509,6.0,sandy_loam
510,5.8,sandy_loam
511,6.3,clay
512,7.2,peat
513,5.7,peat
514,6.6,sandy_loam
515,5.6,peat
516,6.8,peat
517,6.2,sandy_loam
518,6.2,peat
519,6.2,clay
520,6.5,clay
521,6.0,sandy_loam
522,6.7,peat
523,6.6,clay
524,6.6,clay
525,6.4,clay
526,6.9,sandy_loam
527,6.0,sandy_loam
528,5.8,sandy_loam
529,6.3,sandy_loam
530,7.5,peat
531,5.7,peat
532,6.7,sandy_loam
533,6.9,peat
534,5.8,clay
535,6.0,sandy_loam
536,6.2,peat
537,6.2,sandy_loam
538,5.6,peat
539,6.2,peat
540,6.9,sandy_loam
541,5.8,clay
542,6.6,sandy_loam
543,6.4,clay
544,6.8,clay
545,5.9,clay
546,7.1,clay
547,7.3,peat
548,6.6,sandy_loam
549,7.3,peat
550,6.2,clay
551,7.0,peat
552,6.5,clay
553,7.4,peat
554,7.3,clay
555,7.4,peat
556,7.1,clay
557,7.5,peat
558,6.6,peat
559,7.2,peat
560,6.7,peat
561,7.4,peat
562,6.1,clay
563,6.4,peat
564,6.5,sandy_loam
565,6.4,peat
566,5.6,sandy_loam
567,6.8,sandy_loam
568,7.5,peat
569,7.3,peat
570,6.9,sandy_loam
571,6.0,sandy_loam
572,7.1,clay
573,6.8,peat
574,6.0,sandy_loam
575,5.7,peat
576,7.2,sandy_loam
577,7.1,peat
578,5.7,clay
579,7.0,clay
580,6.0,sandy_loam
581,7.2,peat
582,6.0,peat
583,6.7,sandy_loam
584,7.4,sandy_loam
585,6.6,sandy_loam
586,6.7,clay
587,6.6,peat
588,7.1,sandy_loam
589,6.6,peat
590,6.3,peat
591,6.5,clay
592,6.5,clay
593,6.9,sandy_loam
594,7.1,peat
595,6.4,peat
596,6.8,clay
597,6.2,clay
598,6.0,clay
599,6.5,sandy_loam
600,7.0,peat
601,5.9,clay
602,6.5,peat
603,6.1,clay
604,6.5,sandy_loam
605,6.7,peat
606,5.9,sandy_loam
607,5.6,peat
608,7.4,sandy_loam
609,5.8,sandy_loam
610,6.4,clay
611,6.3,clay
612,7.0,peat
613,7.1,peat
614,6.3,clay
615,6.9,peat
616,7.3,peat
617,5.9,peat
618,6.3,peat
619,7.5,sandy_loam
620,7.1,peat
621,5.8,peat
622,5.5,sandy_loam
623,5.7,peat
624,6.0,sandy_loam
625,7.1,peat
626,6.1,clay
627,7.0,sandy_loam
628,5.5,sandy_loam
629,5.6,peat
630,6.1,sandy_loam
631,6.3,sandy_loam
632,5.6,clay
633,6.6,sandy_loam
634,6.4,clay
635,6.2,peat
636,6.5,clay
637,6.3,sandy_loam
638,5.8,clay
639,6.0,peat
640,6.0,peat
641,7.1,sandy_loam
642,6.4,clay
643,6.5,sandy_loam
644,5.6,clay
645,6.2,peat
646,6.6,clay
647,5.8,clay
648,7.4,sandy_loam
649,6.9,clay
650,6.5,peat
651,6.7,clay
652,6.8,clay
653,6.4,clay
654,6.7,sandy_loam
655,6.4,clay
656,6.2,clay
657,5.7,sandy_loam
658,6.9,clay
659,6.7,clay
660,6.3,clay
661,6.5,clay
662,7.1,peat
663,7.5,peat
664,5.6,clay
665,5.8,peat
666,6.8,clay
667,7.5,sandy_loam
668,6.7,sandy_loam
669,6.2,sandy_loam
670,6.3,peat
671,6.9,peat
672,7.0,peat
673,6.3,sandy_loam
674,7.2,sandy_loam
675,7.5,peat
676,6.2,clay
677,6.4,peat
678,5.8,peat
679,7.4,sandy_loam
680,5.8,clay
681,6.1,peat
682,6.7,clay
683,6.9,peat
684,6.1,sandy_loam
685,5.9,peat
686,5.7,clay
687,6.9,peat
688,6.1,clay
689,6.0,sandy_loam
690,5.7,peat
691,6.3,clay
692,6.1,sandy_loam
693,6.2,sandy_loam
694,7.4,sandy_loam
695,6.0,sandy_loam
696,6.6,clay
697,7.2,peat
698,5.9,peat
699,6.1,peat
700,7.5,sandy_loam
701,7.4,peat
702,7.4,peat
703,6.2,sandy_loam
704,6.3,clay
705,6.5,peat
706,6.3,peat
707,5.7,clay
708,6.6,peat
709,6.4,peat
710,5.9,clay
711,7.1,peat
712,7.2,clay
713,5.8,peat
714,5.7,peat
715,7.1,clay
716,6.2,clay
717,6.0,sandy_loam
718,6.7,peat
719,5.6,peat
720,6.2,sandy_loam
721,5.5,clay
722,6.7,clay
723,7.2,peat
724,5.9,clay
725,7.4,clay
726,5.6,clay
727,5.8,sandy_loam
728,6.8,sandy_loam
729,5.6,clay
730,6.8,clay
731,6.1,peat
732,7.5,clay
733,6.1,sandy_loam
734,6.4,peat
735,6.1,peat
736,5.7,sandy_loam
737,6.5,peat
738,7.4,peat
739,7.2,sandy_loam
740,6.9,sandy_loam
741,6.6,peat
742,7.4,sandy_loam
743,6.7,sandy_loam
744,6.1,sandy_loam
745,7.0,sandy_loam
746,6.7,peat
747,6.1,clay
748,6.6,sandy_loam
749,5.8,peat
750,6.9,peat
751,6.6,clay
752,6.8,sandy_loam
753,7.1,clay
754,6.8,peat
755,6.8,sandy_loam
756,7.3,sandy_loam
757,6.3,peat
758,6.1,peat
759,7.3,sandy_loam
760,7.0,peat
761,7.2,peat
762,6.8,peat
763,7.4,peat
764,6.8,sandy_loam
765,6.5,sandy_loam
766,6.5,peat
767,7.4,clay
768,7.4,sandy_loam
769,7.4,sandy_loam
770,7.2,sandy_loam
771,5.9,clay
772,5.7,sandy_loam
773,6.8,clay
774,6.3,peat
775,5.7,clay
776,7.2,peat
777,5.6,peat
778,7.3,peat
779,6.8,clay
780,5.6,clay
781,7.1,clay
782,6.5,peat
783,5.6,sandy_loam
784,6.8,clay
785,6.1,peat
786,7.4,peat
787,7.0,clay
788,6.9,clay
789,6.2,clay
790,6.2,peat
791,6.7,sandy_loam
792,6.1,peat
793,7.4,peat
794,6.9,clay
795,6.6,peat
796,6.3,clay
797,6.6,peat
798,6.7,peat
799,5.6,clay
800,6.0,sandy_loam
801,6.8,sandy_loam
802,6.8,peat
803,6.0,clay
804,5.5,peat
805,6.1,sandy_loam
806,5.6,clay
807,7.1,clay
808,7.0,peat
809,6.3,peat
810,6.6,clay
811,5.7,clay
812,5.7,clay
813,5.5,sandy_loam
814,6.6,clay
815,6.1,sandy_loam
816,6.5,sandy_loam
817,6.1,sandy_loam
818,7.2,clay
819,6.1,clay
820,6.0,sandy_loam
821,6.6,peat
822,6.6,sandy_loam
823,6.8,peat
824,6.5,peat
825,7.4,sandy_loam
826,6.4,clay
827,6.6,clay
828,5.7,peat
829,6.7,clay
830,6.2,clay
831,5.6,clay
832,6.0,clay
833,6.8,peat
834,7.2,clay
835,6.7,peat
836,7.1,sandy_loam
837,5.9,sandy_loam
838,6.1,sandy_loam
839,6.7,clay
840,6.7,clay
841,5.5,sandy_loam
842,6.3,peat
843,7.0,sandy_loam
844,5.6,peat
845,5.7,clay
846,5.9,sandy_loam
847,7.3,clay
848,5.5,peat
849,6.9,sandy_loam
850,5.7,clay
851,7.1,clay
852,7.1,sandy_loam
853,5.7,peat
854,6.7,peat
855,6.8,clay
856,7.2,sandy_loam
857,5.6,clay
858,7.2,clay
859,6.8,sandy_loam
860,6.3,peat
861,7.1,sandy_loam
862,5.9,sandy_loam
863,6.2,peat
864,6.4,sandy_loam
865,7.3,peat
866,5.6,clay
867,7.2,clay
868,5.6,peat
869,6.3,peat
870,5.7,sandy_loam
871,6.0,peat
872,7.4,sandy_loam
873,6.2,sandy_loam
874,7.2,sandy_loam
875,5.9,peat
876,6.3,clay
877,5.5,clay
878,6.0,clay
879,7.2,sandy_loam
880,6.4,peat
881,6.6,sandy_loam
882,7.4,peat
883,6.2,peat
884,5.7,sandy_loam
885,6.1,peat
886,6.0,sandy_loam
887,7.2,peat
888,5.6,peat
889,5.9,peat
890,6.7,clay
891,7.0,sandy_loam
892,6.1,clay
893,6.6,clay
894,7.1,peat
895,5.6,sandy_loam
896,6.5,sandy_loam
897,6.7,sandy_loam
898,7.3,sandy_loam
899,7.1,peat
900,6.5,clay
901,7.4,peat
902,6.2,clay
903,7.2,clay
904,7.1,clay
905,7.0,peat
906,7.1,sandy_loam
907,6.5,peat
908,6.3,sandy_loam
909,6.5,clay
910,5.7,peat
911,6.3,peat
912,5.9,clay
913,5.7,peat
914,6.7,sandy_loam
915,5.8,clay
916,5.6,peat
917,7.5,clay
918,7.1,sandy_loam
919,7.5,peat
920,6.4,clay
921,6.0,sandy_loam
922,5.6,peat
923,7.2,sandy_loam
924,6.2,peat
925,7.0,sandy_loam
926,5.8,peat
927,7.0,clay
928,6.4,peat
929,7.5,peat
930,5.6,clay
931,7.5,peat
932,6.4,peat
933,7.2,clay
934,7.0,sandy_loam
935,5.6,peat
936,6.5,peat
937,6.6,peat
938,6.4,sandy_loam
939,7.4,peat
940,6.3,sandy_loam
941,7.1,peat
942,7.1,sandy_loam
943,6.0,sandy_loam
944,6.9,clay
945,6.4,peat
946,5.6,clay
947,6.7,peat
948,7.0,peat
949,5.7,clay
950,7.2,sandy_loam
951,6.2,peat
952,6.3,clay
953,6.5,sandy_loam
954,7.0,sandy_loam
955,7.4,clay
956,7.2,peat
957,6.9,clay
958,6.7,peat
959,5.7,peat
960,6.6,sandy_loam
961,6.6,sandy_loam
962,6.7,peat
963,6.2,clay
964,6.0,clay
965,7.1,clay
966,7.4,sandy_loam
967,6.4,peat
968,6.9,clay
969,7.3,sandy_loam
970,6.3,sandy_loam
971,6.4,peat
972,7.3,peat
973,6.8,clay
974,6.3,peat
975,7.0,sandy_loam
976,5.5,peat
977,7.3,clay
978,6.7,peat
979,6.4,clay
980,6.5,sandy_loam
981,6.5,peat
982,5.7,sandy_loam
983,5.8,clay
984,6.7,clay
985,7.1,peat
986,6.0,peat
987,5.9,clay
988,5.9,sandy_loam
989,5.9,sandy_loam
990,6.6,clay
991,7.1,clay
992,6.4,clay
993,6.4,peat
994,5.7,peat
995,7.1,peat
996,6.3,sandy_loam
997,6.9,clay
998,7.1,peat
999,6.9,peat
1000,6.0,clay
1001,7.2,peat
1002,6.1,sandy_loam
1003,6.8,clay
1004,6.8,peat
1005,6.7,clay
1006,7.2,clay
1007,6.4,clay
1008,7.0,clay
1009,6.3,clay
1010,7.0,peat
1011,7.3,clay
1012,7.3,sandy_loam
1013,6.6,clay
1014,6.6,peat
1015,7.2,clay
1016,5.9,clay
1017,7.2,peat
1018,6.7,clay
1019,5.8,peat
1020,7.5,peat
1021,7.0,sandy_loam
1022,6.5,sandy_loam
1023,7.0,sandy_loam
1024,6.9,peat
1025,6.6,sandy_loam
1026,6.5,sandy_loam
1027,5.8,peat
1028,6.5,clay
1029,6.5,sandy_loam
1030,7.3,peat
1031,6.2,peat
1032,6.4,peat
1033,6.5,peat
1034,5.9,peat
1035,6.0,peat
1036,6.2,peat
1037,6.8,clay
1038,7.3,clay
1039,6.7,peat
1040,5.9,peat
1041,6.0,peat
1042,6.1,sandy_loam
1043,5.9,clay
1044,6.7,sandy_loam
1045,6.6,sandy_loam
1046,6.7,peat
1047,7.5,clay
1048,5.6,sandy_loam
1049,6.5,peat
1050,7.4,sandy_loam
1051,6.4,clay
1052,6.2,sandy_loam
1053,5.8,peat
1054,6.0,clay
1055,5.9,clay
1056,7.3,sandy_loam
1057,5.5,clay
1058,7.3,peat
1059,6.0,clay
1060,6.7,clay
1061,7.2,clay
1062,6.0,sandy_loam
1063,5.6,clay
1064,6.2,sandy_loam
1065,5.7,peat
1066,6.1,peat
1067,6.3,sandy_loam
1068,5.7,peat
1069,6.1,sandy_loam
1070,7.4,clay
1071,6.7,sandy_loam
1072,6.0,clay
1073,5.7,sandy_loam
1074,6.7,clay
1075,6.4,clay
1076,5.8,clay
1077,5.9,sandy_loam
1078,5.6,sandy_loam
1079,5.6,peat
1080,6.3,clay
1081,7.2,peat
1082,5.8,peat
1083,6.8,clay
1084,6.5,clay
1085,5.7,sandy_loam
1086,6.7,peat
1087,6.6,peat
1088,6.9,sandy_loam
1089,6.7,peat
1090,7.3,peat
1091,7.5,clay
1092,5.8,clay
1093,6.6,clay
1094,6.1,peat
1095,7.2,sandy_loam
1096,6.2,sandy_loam
1097,6.7,clay
1098,6.0,clay
1099,6.7,clay
1100,7.0,sandy_loam
1101,7.3,sandy_loam
1102,7.4,peat
1103,5.6,sandy_loam
1104,5.7,clay
1105,6.6,sandy_loam
1106,6.6,clay
1107,6.6,clay
1108,5.5,clay
1109,6.3,sandy_loam
1110,6.6,sandy_loam
1111,6.1,peat
1112,5.6,sandy_loam
1113,5.7,peat
1114,6.5,clay
1115,6.5,clay
1116,6.4,peat
1117,6.3,clay
1118,7.3,clay
1119,5.6,clay
1120,6.4,sandy_loam
1121,6.8,clay
1122,5.6,clay
1123,5.5,peat
1124,6.4,sandy_loam
1125,6.4,peat
1126,6.9,sandy_loam
1127,6.8,sandy_loam
1128,7.3,sandy_loam
1129,6.9,peat
1130,5.7,sandy_loam
1131,6.8,clay
1132,6.3,peat
1133,6.2,peat
1134,6.0,sandy_loam
1135,7.0,sandy_loam
1136,6.7,sandy_loam
1137,5.6,clay
1138,7.5,clay
1139,5.6,peat
1140,6.0,sandy_loam
1141,6.7,clay
1142,5.6,peat
1143,7.5,clay
1144,6.9,sandy_loam
1145,6.4,sandy_loam
1146,6.5,clay
1147,6.6,clay
1148,5.6,peat
1149,6.6,clay
1150,6.0,sandy_loam
1151,5.5,clay
1152,7.1,peat
1153,7.5,clay
1154,6.7,clay
1155,6.5,sandy_loam
1156,5.9,clay
1157,5.9,peat
1158,6.9,clay
1159,6.5,clay
1160,5.6,sandy_loam
1161,6.0,peat
1162,6.3,sandy_loam
1163,5.6,peat
1164,6.2,sandy_loam
1165,7.4,peat
1166,6.8,sandy_loam
1167,6.7,clay
1168,6.9,peat
1169,5.6,peat
1170,5.7,sandy_loam
1171,7.0,peat
1172,7.2,sandy_loam
1173,7.2,sandy_loam
1174,6.6,clay
1175,5.5,clay
1176,6.9,peat
1177,6.2,sandy_loam
1178,7.2,sandy_loam
1179,6.4,sandy_loam
1180,5.9,clay
1181,7.4,peat
1182,6.2,sandy_loam
1183,6.8,clay
1184,6.6,clay
1185,5.9,clay
1186,6.7,clay
1187,6.1,sandy_loam
1188,6.7,peat
1189,5.8,clay
1190,7.3,clay
1191,6.0,clay
1192,7.1,sandy_loam
1193,6.8,peat
1194,6.4,peat
1195,5.7,peat
1196,6.5,peat
1197,5.9,peat
1198,7.1,clay
1199,6.6,clay
1200,7.5,sandy_loam
1201,6.0,clay
1202,7.4,clay
1203,7.3,clay
1204,6.5,clay
1205,6.1,sandy_loam
1206,6.7,clay
1207,7.0,peat
1208,5.8,peat
1209,7.0,clay
1210,6.2,peat
1211,5.8,sandy_loam
1212,7.5,sandy_loam
1213,6.5,peat
1214,6.3,peat
1215,6.6,clay
1216,5.5,sandy_loam
1217,5.9,sandy_loam
1218,7.2,clay
1219,7.4,peat
1220,5.6,sandy_loam
1221,7.3,sandy_loam
1222,7.2,peat
1223,6.9,clay
1224,7.3,peat
1225,6.6,sandy_loam
1226,5.9,clay
1227,7.0,peat
1228,6.8,sandy_loam
1229,6.8,peat
1230,6.9,peat
1231,6.0,clay
1232,6.2,sandy_loam
1233,6.6,sandy_loam
1234,6.0,peat
1235,5.9,clay
1236,6.7,sandy_loam
1237,6.9,clay
1238,7.4,sandy_loam
1239,5.9,clay
1240,6.2,sandy_loam
1241,7.3,peat
1242,5.5,sandy_loam
1243,5.8,peat
1244,6.5,clay
1245,7.1,peat
1246,6.8,sandy_loam
1247,7.4,sandy_loam
1248,6.4,sandy_loam
1249,6.1,sandy_loam
1250,6.4,clay
1251,7.4,peat
1252,7.5,peat
1253,7.2,sandy_loam
1254,6.7,peat
1255,7.1,peat
1256,6.4,peat
1257,5.8,clay
1258,6.2,peat
1259,6.6,clay
1260,6.9,peat
1261,6.4,peat
1262,6.1,clay
1263,5.9,clay
1264,7.4,peat
1265,5.8,clay
1266,6.5,peat
1267,7.3,sandy_loam
1268,7.1,sandy_loam
1269,6.4,peat
1270,6.7,clay
1271,7.4,peat
1272,7.2,peat
1273,5.5,sandy_loam
1274,6.7,peat
1275,6.7,clay
1276,7.1,peat
1277,5.7,clay
1278,6.9,sandy_loam
1279,6.1,sandy_loam
1280,6.1,peat
1281,7.0,sandy_loam
1282,6.1,sandy_loam
1283,6.8,sandy_loam
1284,6.3,peat
1285,5.5,peat
1286,6.5,sandy_loam
1287,5.7,clay
1288,7.1,sandy_loam
1289,7.4,peat
1290,6.5,clay
1291,6.9,sandy_loam
1292,6.1,clay
1293,5.6,sandy_loam
1294,7.0,clay
1295,6.6,sandy_loam
1296,6.4,sandy_loam
1297,7.0,clay
1298,5.5,sandy_loam
1299,5.8,sandy_loam
1300,6.9,clay
1301,5.6,clay
1302,5.7,sandy_loam
1303,6.1,clay
1304,6.2,clay
1305,6.3,sandy_loam
1306,6.3,peat
1307,5.7,peat
1308,6.1,sandy_loam
1309,6.0,sandy_loam
1310,6.2,sandy_loam
1311,6.8,sandy_loam
1312,6.6,peat
1313,6.4,sandy_loam
1314,6.3,clay
1315,6.1,sandy_loam
1316,6.5,clay
1317,6.7,clay
1318,5.9,sandy_loam
1319,5.6,sandy_loam
1320,6.7,clay
1321,6.5,clay
