id,region,ndvi,yield,year,month,soil_type
126,South,0.63,5.0,2023,4,sandy_loam
127,South,0.53,2.0,2020,1,sandy_loam
128,East,0.9,4.8,2023,5,sandy_loam
129,East,0.64,3.5,2023,11,peat
130,North,0.63,3.9,2022,7,clay
131,North,0.58,4.6,2020,10,sandy_loam
132,East,0.75,3.8,2022,8,sandy_loam
133,North,0.5,2.2,2021,6,sandy_loam
134,South,0.53,3.1,2021,4,sandy_loam
135,South,0.62,2.2,2021,11,clay
136,North,0.8,4.1,2021,5,sandy_loam
137,North,0.7,2.9,2020,6,clay
138,North,0.67,4.9,2023,12,peat
139,East,0.63,2.9,2022,4,peat
140,East,0.62,2.9,2022,6,peat
141,South,0.51,2.1,2022,1,peat
142,East,0.61,3.1,2022,10,sandy_loam
143,South,0.57,3.9,2020,11,sandy_loam
144,North,0.86,3.7,2020,12,clay
145,West,0.52,4.3,2021,8,sandy_loam
146,East,0.54,2.5,2023,6,sandy_loam
147,East,0.59,4.0,2020,7,clay
148,South,0.85,4.3,2021,9,peat
149,East,0.86,2.8,2022,1,sandy_loam
150,North,0.62,2.3,2023,1,clay
151,East,0.5,4.6,2020,4,sandy_loam
152,North,0.8,4.4,2023,10,sandy_loam
153,South,0.55,4.5,2021,7,sandy_loam
154,East,0.7,2.2,2023,11,clay
155,West,0.56,2.7,2020,2,clay
156,East,0.55,2.3,2020,10,peat
157,South,0.62,3.8,2020,1,peat
158,West,0.81,4.4,2023,4,clay
159,South,0.82,3.4,2023,3,peat
160,North,0.57,4.4,2020,8,peat
161,South,0.79,4.1,2021,5,clay
162,East,0.65,3.3,2023,5,clay
163,West,0.76,2.6,2020,3,peat
164,South,0.62,2.4,2022,6,clay
165,South,0.82,2.6,2021,1,peat
166,North,0.88,4.4,2021,5,clay
167,West,0.86,4.6,2023,6,sandy_loam
168,East,0.81,2.3,2023,2,clay
169,East,0.7,2.2,2021,1,clay
170,South,0.64,2.5,2021,4,clay
171,East,0.59,2.6,2022,3,sandy_loam
172,East,0.56,4.5,2020,7,sandy_loam
173,East,0.5,4.5,2020,6,sandy_loam
174,East,0.5,4.9,2021,6,peat
175,East,0.51,4.5,2023,1,sandy_loam
176,West,0.59,3.6,2020,10,sandy_loam
177,North,0.7,4.7,2021,3,sandy_loam
178,East,0.73,3.7,2021,4,clay
179,West,0.59,4.1,2021,4,sandy_loam
180,East,0.86,3.0,2021,10,clay
181,North,0.52,3.7,2020,5,sandy_loam
182,South,0.52,4.7,2023,5,peat
183,South,0.6,3.9,2020,2,peat
184,North,0.81,3.4,2022,6,peat
185,North,0.54,3.5,2023,8,peat
186,North,0.74,2.8,2022,11,peat
187,South,0.65,3.9,2023,6,sandy_loam
188,North,0.81,3.6,2020,9,sandy_loam
189,North,0.53,3.7,2023,4,sandy_loam
190,South,0.75,2.4,2022,6,sandy_loam
191,West,0.73,4.5,2020,9,clay
192,West,0.89,4.3,2020,1,peat
193,West,0.62,3.6,2021,6,sandy_loam
194,West,0.72,4.5,2021,2,peat
195,West,0.64,2.1,2023,2,sandy_loam
196,North,0.63,4.6,2020,6,sandy_loam
197,West,0.53,2.6,2022,7,sandy_loam
198,East,0.9,4.7,2022,2,sandy_loam
199,South,0.74,4.3,2020,4,peat
200,East,0.78,4.3,2021,3,sandy_loam
201,South,0.53,3.8,2022,1,clay
202,South,0.68,2.1,2021,4,clay
203,South,0.62,3.6,2021,7,peat
204,South,0.73,3.0,2023,8,sandy_loam
205,South,0.81,3.1,2022,4,clay
206,East,0.76,4.7,2022,6,peat
207,South,0.62,2.6,2023,10,sandy_loam
208,West,0.8,4.1,2020,9,clay
209,South,0.78,2.9,2022,2,sandy_loam
210,North,0.8,3.9,2023,3,clay
211,North,0.66,4.4,2020,10,peat
212,South,0.67,3.6,2020,5,sandy_loam
213,East,0.8,3.4,2021,1,peat
214,West,0.85,3.4,2023,9,peat
215,North,0.67,2.4,2020,5,clay
216,South,0.59,4.5,2020,1,sandy_loam
217,North,0.89,2.7,2020,6,clay
218,East,0.53,2.9,2022,4,clay
219,South,0.74,3.6,2021,6,sandy_loam
220,East,0.7,4.4,2021,11,peat
221,West,0.78,4.1,2021,10,sandy_loam
222,South,0.54,3.4,2022,6,sandy_loam
223,West,0.61,3.5,2021,6,sandy_loam
224,West,0.8,3.7,2020,1,peat
225,West,0.68,2.1,2021,9,sandy_loam
226,South,0.84,4.0,2022,7,sandy_loam
227,West,0.59,3.1,2020,7,peat
228,South,0.77,3.7,2021,1,clay
229,South,0.55,2.1,2022,4,clay
230,West,0.63,4.8,2023,2,peat
231,West,0.77,4.5,2021,10,peat
232,South,0.62,4.5,2022,8,sandy_loam
233,North,0.59,4.1,2021,9,peat
234,South,0.67,3.3,2021,10,peat
235,North,0.73,3.5,2022,10,peat
236,West,0.78,3.3,2021,12,clay
237,North,0.66,3.9,2020,12,sandy_loam
238,South,0.61,2.0,2022,11,sandy_loam
239,East,0.84,2.6,2020,12,clay
240,West,0.75,2.6,2020,3,clay
241,North,0.61,4.4,2022,4,clay
242,North,0.53,3.0,2023,12,peat
243,South,0.69,2.7,2023,12,clay
244,East,0.58,2.4,2023,4,peat
245,East,0.68,2.7,2022,10,sandy_loam
246,South,0.55,3.6,2023,5,sandy_loam
247,South,0.69,4.8,2022,12,peat
248,South,0.79,4.4,2022,9,clay
249,North,0.52,3.3,2022,12,peat
250,East,0.85,3.3,2020,8,clay
251,South,0.74,2.0,2023,7,sandy_loam
252,East,0.75,3.6,2022,5,peat
253,East,0.8,2.5,2020,7,peat
254,West,0.5,2.5,2022,6,peat
255,West,0.84,3.8,2020,2,peat
256,North,0.59,3.5,2020,8,sandy_loam
257,South,0.5,4.9,2021,8,peat
258,East,0.62,4.2,2021,10,peat
259,East,0.75,4.5,2021,8,clay
260,North,0.85,3.6,2022,5,sandy_loam
261,South,0.65,2.6,2022,2,clay
262,East,0.68,2.2,2020,11,peat
263,West,0.53,3.3,2020,11,sandy_loam
264,South,0.73,2.0,2023,10,peat
265,East,0.64,5.0,2020,9,sandy_loam
266,North,0.68,4.2,2020,3,clay
267,South,0.58,2.9,2021,12,sandy_loam
268,East,0.65,2.4,2023,6,clay
269,North,0.72,4.9,2022,2,sandy_loam
270,South,0.61,4.6,2021,5,sandy_loam
271,North,0.73,3.9,2023,6,clay
272,North,0.88,2.3,2021,10,clay
273,South,0.76,4.1,2022,7,clay
274,West,0.83,2.2,2020,2,clay
275,East,0.81,3.1,2020,2,sandy_loam
276,South,0.68,4.6,2021,1,clay
277,North,0.69,2.7,2023,8,sandy_loam
278,East,0.84,4.0,2020,1,sandy_loam
279,East,0.62,2.1,2022,4,sandy_loam
280,West,0.69,3.0,2022,2,peat
281,South,0.75,4.6,2022,1,sandy_loam
282,East,0.71,3.5,2021,3,clay
283,East,0.59,4.1,2023,12,sandy_loam
284,South,0.52,2.9,2020,2,peat
285,North,0.87,4.0,2023,7,peat
286,South,0.55,2.9,2020,4,peat
287,North,0.56,3.4,2023,8,clay
288,West,0.7,4.5,2022,5,peat
289,East,0.71,2.5,2022,12,sandy_loam
290,North,0.51,2.5,2023,1,sandy_loam
291,South,0.87,4.3,2023,4,clay
292,North,0.71,4.8,2020,8,sandy_loam
293,South,0.5,3.0,2020,12,peat
294,West,0.54,3.2,2020,8,sandy_loam
295,East,0.79,4.1,2022,10,sandy_loam
296,East,0.81,3.8,2020,6,sandy_loam
297,East,0.64,3.7,2022,2,peat
298,East,0.55,3.3,2023,3,sandy_loam
299,East,0.74,3.4,2020,2,peat
300,West,0.52,2.5,2023,8,sandy_loam
301,North,0.86,2.8,2020,2,sandy_loam
302,West,0.53,3.2,2023,5,peat
303,West,0.71,3.3,2020,7,sandy_loam
304,North,0.87,4.1,2022,12,sandy_loam
305,North,0.62,3.7,2020,2,sandy_loam
306,East,0.86,4.5,2020,7,clay
307,South,0.88,3.8,2020,10,clay
308,East,0.88,2.7,2023,4,clay
309,West,0.59,3.3,2021,11,peat
310,North,0.53,4.4,2022,10,sandy_loam
311,East,0.87,4.7,2021,2,clay
312,West,0.51,3.8,2021,2,peat
313,East,0.85,4.7,2023,6,clay
314,West,0.5,4.5,2022,1,peat
315,North,0.68,2.1,2022,12,clay
316,North,0.81,4.6,2022,1,sandy_loam
317,South,0.89,2.7,2020,1,sandy_loam
318,North,0.68,4.3,2020,12,sandy_loam
319,East,0.7,4.2,2020,10,sandy_loam
320,North,0.8,3.6,2022,2,clay
321,South,0.79,3.3,2023,3,sandy_loam
322,West,0.8,2.4,2021,1,sandy_loam
323,North,0.69,2.9,2023,2,clay
324,South,0.83,3.4,2023,11,clay
325,East,0.77,4.9,2020,10,clay
326,North,0.65,2.1,2022,8,clay
327,South,0.59,4.4,2023,6,sandy_loam
328,South,0.79,4.4,2021,1,peat
329,East,0.9,3.6,2020,12,sandy_loam
330,South,0.7,2.9,2021,5,clay
331,South,0.88,3.0,2020,9,peat
332,South,0.86,3.0,2022,11,peat
333,West,0.82,4.5,2020,5,clay
334,East,0.61,4.1,2022,3,clay
335,North,0.84,3.9,2020,2,peat
336,West,0.58,4.7,2023,6,clay
337,West,0.65,2.2,2022,12,peat
338,West,0.6,2.0,2020,7,sandy_loam
339,West,0.76,3.7,2020,11,sandy_loam
340,East,0.81,4.0,2022,1,peat
341,West,0.52,3.8,2023,9,sandy_loam
342,South,0.66,3.2,2021,7,clay
343,North,0.66,2.5,2021,8,clay
344,North,0.84,3.6,2021,8,clay
345,South,0.7,2.8,2020,1,peat
346,West,0.54,4.7,2021,12,clay
347,West,0.65,3.8,2021,9,sandy_loam
348,West,0.74,4.8,2023,7,peat
349,West,0.81,2.6,2021,2,clay
350,West,0.74,2.2,2020,4,clay
351,West,0.79,4.7,2023,6,sandy_loam
352,West,0.67,4.6,2020,2,peat
353,West,0.62,4.5,2021,9,sandy_loam
354,North,0.86,2.5,2021,5,sandy_loam
355,West,0.62,3.5,2020,1,peat
356,West,0.89,4.2,2022,10,peat
357,East,0.51,2.8,2022,3,sandy_loam
358,East,0.69,2.5,2023,7,clay
359,West,0.85,3.5,2020,2,clay
360,South,0.81,2.5,2023,12,clay
361,East,0.64,3.4,2021,3,clay
362,North,0.6,3.0,2021,10,clay
363,East,0.8,3.6,2023,1,sandy_loam
364,East,0.81,3.1,2022,9,clay
365,South,0.82,4.5,2020,6,clay
366,West,0.72,3.4,2022,12,peat
367,East,0.73,2.9,2021,1,clay
368,West,0.88,4.3,2021,7,clay
369,North,0.9,4.9,2021,9,sandy_loam
370,West,0.7,3.8,2021,4,peat
371,East,0.77,3.2,2022,1,peat
372,North,0.7,2.2,2022,12,clay
373,East,0.58,4.5,2023,9,clay
374,West,0.51,4.4,2022,8,sandy_loam
375,West,0.76,5.0,2023,6,peat
376,South,0.66,2.7,2020,7,clay
377,East,0.63,5.0,2022,5,clay
378,East,0.89,4.3,2023,3,sandy_loam
379,East,0.8,2.3,2022,11,sandy_loam
380,East,0.53,2.2,2021,3,peat
381,North,0.77,4.6,2023,10,peat
382,West,0.8,3.5,2021,12,sandy_loam
383,East,0.64,4.6,2023,4,clay
384,South,0.5,3.9,2022,12,sandy_loam
385,South,0.68,4.5,2020,11,clay
386,West,0.65,3.6,2021,10,sandy_loam
387,North,0.68,2.5,2020,5,peat
388,West,0.76,3.3,2022,10,clay
389,East,0.52,3.8,2020,10,peat
390,West,0.9,4.0,2021,4,sandy_loam
391,South,0.63,3.7,2020,3,peat
392,North,0.88,2.5,2022,11,peat
393,East,0.61,2.3,2020,8,clay
394,South,0.66,4.0,2021,7,clay
395,North,0.75,4.8,2023,4,peat
396,East,0.62,3.0,2023,7,peat
397,East,0.84,4.5,2021,6,peat
398,West,0.6,2.4,2020,9,peat
399,East,0.51,3.5,2022,6,peat
400,South,0.73,2.8,2022,12,clay
401,West,0.63,3.9,2022,5,clay
402,South,0.65,2.7,2023,3,peat
403,West,0.64,3.3,2023,5,clay
404,East,0.59,2.0,2023,3,clay
405,West,0.72,2.8,2023,8,clay
406,East,0.54,3.8,2022,7,clay
407,East,0.79,5.0,2023,4,clay
408,South,0.71,4.0,2021,4,peat
409,West,0.54,3.9,2023,6,clay
410,West,0.62,3.5,2023,9,sandy_loam
411,South,0.78,4.0,2022,5,peat
412,North,0.58,3.1,2023,8,sandy_loam
413,East,0.53,2.2,2021,5,sandy_loam
414,North,0.52,5.0,2022,8,sandy_loam
415,East,0.71,4.9,2022,10,sandy_loam
416,South,0.53,2.9,2022,8,clay
417,South,0.58,2.3,2022,8,clay
418,East,0.82,4.9,2023,5,peat
419,South,0.81,3.8,2021,7,sandy_loam
420,North,0.65,4.2,2020,2,peat
421,East,0.83,3.9,2021,2,sandy_loam
422,South,0.58,4.7,2021,2,peat
423,South,0.53,2.6,2020,2,sandy_loam
424,East,0.77,2.5,2021,9,clay
425,West,0.86,3.6,2020,4,peat
426,South,0.55,2.1,2020,11,sandy_loam
427,East,0.68,4.6,2022,1,peat
428,East,0.89,4.7,2021,6,sandy_loam
429,South,0.87,5.0,2020,12,sandy_loam
430,East,0.81,2.5,2021,7,clay
431,South,0.53,3.5,2023,9,clay
432,West,0.6,3.0,2020,3,peat
433,South,0.53,4.7,2021,9,clay
434,South,0.89,3.6,2021,2,peat
435,East,0.74,2.1,2021,10,clay
436,East,0.66,3.2,2023,10,clay
437,East,0.74,4.1,2020,9,sandy_loam
438,North,0.84,4.0,2022,4,peat
439,South,0.8,2.0,2021,12,sandy_loam
440,South,0.81,3.0,2021,1,clay
441,West,0.67,5.0,2022,1,peat
442,East,0.85,4.4,2023,7,peat
443,North,0.66,2.8,2021,7,peat
444,South,0.61,4.2,2021,6,sandy_loam
445,West,0.68,3.7,2022,11,peat
446,East,0.82,3.3,2021,7,clay
447,East,0.87,4.7,2020,2,peat
448,East,0.89,3.6,2023,10,peat
449,South,0.87,4.6,2020,6,sandy_loam
450,North,0.81,4.1,2021,7,sandy_loam
451,East,0.89,2.6,2021,10,sandy_loam
452,South,0.73,2.8,2021,1,clay
453,East,0.6,3.2,2020,7,peat
454,West,0.74,4.3,2023,3,peat
455,North,0.53,3.9,2022,12,sandy_loam
456,South,0.81,2.7,2021,5,sandy_loam
457,North,0.6,4.0,2022,7,sandy_loam
458,West,0.73,4.8,2020,9,sandy_loam
459,East,0.51,3.5,2021,1,clay
460,East,0.56,3.0,2020,8,sandy_loam
461,South,0.7,2.0,2021,5,sandy_loam
462,East,0.83,4.6,2021,2,clay
463,North,0.72,3.0,2021,6,clay
464,East,0.76,4.7,2021,9,clay
465,East,0.74,2.3,2023,1,peat
466,North,0.8,2.1,2020,11,sandy_loam
467,North,0.86,2.4,2020,12,peat
468,South,0.73,3.8,2023,11,peat
469,East,0.74,2.8,2020,3,sandy_loam
470,East,0.83,4.0,2021,6,peat
471,North,0.55,3.5,2022,5,clay
472,South,0.73,2.4,2022,2,peat
473,West,0.75,3.0,2023,9,sandy_loam
474,North,0.89,3.0,2022,10,clay
475,North,0.8,3.6,2023,9,clay
476,South,0.68,4.0,2021,2,sandy_loam
477,West,0.53,3.8,2020,11,peat
478,West,0.55,2.1,2023,3,clay
479,South,0.84,3.2,2022,2,sandy_loam
480,North,0.6,3.2,2021,3,clay
481,South,0.51,3.6,2021,8,sandy_loam
482,East,0.81,4.0,2022,12,clay
483,West,0.61,2.5,2020,8,clay
484,West,0.85,2.8,2020,6,sandy_loam
485,West,0.9,4.7,2021,9,sandy_loam
486,East,0.68,4.2,2022,5,sandy_loam
487,East,0.74,3.4,2022,12,peat
488,South,0.51,4.0,2022,7,peat
489,South,0.75,4.5,2023,8,sandy_loam
490,North,0.52,2.7,2022,8,peat
491,West,0.81,4.4,2023,9,clay
492,East,0.74,4.1,2021,10,sandy_loam
493,West,0.65,3.3,2023,4,peat
494,West,0.88,4.3,2022,6,clay
495,South,0.64,3.6,2020,7,peat
496,South,0.51,4.3,2020,8,sandy_loam
497,East,0.8,3.5,2023,4,sandy_loam
498,West,0.75,4.2,2022,4,peat
499,West,0.84,2.2,2020,9,peat
500,South,0.84,3.4,2020,5,clay
501,North,0.51,2.8,2020,3,peat
502,West,0.56,3.7,2023,3,clay
503,South,0.88,2.7,2020,5,peat
504,North,0.76,2.3,2020,2,clay
505,North,0.78,2.9,2022,3,sandy_loam
506,West,0.65,4.2,2022,11,clay
507,North,0.64,3.9,2022,4,clay
508,West,0.67,2.9,2023,10,clay
509,South,0.56,2.3,2020,4,clay
510,South,0.89,2.3,2021,5,sandy_loam
511,South,0.76,3.2,2021,9,clay
512,West,0.67,4.4,2020,8,peat
513,West,0.53,3.1,2021,1,peat
514,West,0.87,2.9,2020,7,sandy_loam
515,West,0.69,3.8,2020,4,peat
516,South,0.7,2.8,2023,11,sandy_loam
517,South,0.63,2.8,2020,10,sandy_loam
518,East,0.62,3.8,2020,11,peat
519,South,0.62,3.2,2022,8,sandy_loam
520,East,0.66,3.8,2023,9,peat
521,North,0.57,4.1,2021,12,clay
522,East,0.8,3.1,2022,1,peat
523,South,0.56,4.3,2022,11,clay
524,West,0.68,4.7,2023,3,clay
525,West,0.68,3.7,2020,6,sandy_loam
526,South,0.82,2.7,2022,5,sandy_loam
527,North,0.69,2.1,2020,10,sandy_loam
528,East,0.85,2.6,2020,8,peat
529,West,0.79,4.2,2023,6,sandy_loam
530,West,0.53,3.0,2020,8,peat
531,East,0.65,2.0,2021,1,clay
532,South,0.51,3.2,2020,9,clay
533,North,0.52,4.2,2020,9,peat
534,South,0.52,2.4,2021,10,clay
535,South,0.51,2.3,2020,5,sandy_loam
536,South,0.51,2.7,2020,11,sandy_loam
537,South,0.72,2.1,2023,7,peat
538,West,0.74,5.0,2020,5,peat
539,South,0.77,3.4,2021,10,clay
540,North,0.64,2.8,2023,5,sandy_loam
541,East,0.77,3.6,2023,5,sandy_loam
542,East,0.63,2.4,2022,1,clay
543,North,0.73,3.6,2023,3,clay
544,East,0.53,3.3,2020,1,clay
545,North,0.67,4.3,2021,9,clay
546,South,0.71,4.2,2022,4,peat
547,North,0.71,2.8,2023,6,sandy_loam
548,East,0.74,3.5,2023,10,clay
549,East,0.61,2.3,2021,9,sandy_loam
550,South,0.75,2.6,2022,7,clay
551,North,0.61,3.4,2023,7,clay
552,South,0.8,2.1,2022,3,peat
553,West,0.82,4.2,2022,7,sandy_loam
554,North,0.69,4.4,2022,7,peat
555,South,0.63,2.2,2021,5,peat
556,West,0.68,4.4,2020,3,clay
557,North,0.71,4.7,2022,1,clay
558,West,0.55,2.3,2021,11,clay
559,West,0.74,3.0,2023,1,sandy_loam
560,North,0.52,2.8,2020,6,clay
561,South,0.5,4.0,2023,10,peat
562,West,0.7,2.8,2023,10,peat
563,South,0.84,3.5,2022,10,clay
564,South,0.77,2.8,2022,1,clay
565,North,0.82,3.1,2021,7,peat
566,South,0.54,2.9,2020,7,sandy_loam
567,North,0.66,2.3,2021,8,sandy_loam
568,East,0.74,4.9,2023,4,clay
569,East,0.82,3.4,2021,12,peat
570,East,0.6,3.8,2021,4,peat
571,West,0.62,3.4,2023,1,sandy_loam
572,South,0.75,4.5,2022,1,clay
573,North,0.62,3.1,2021,11,peat
574,South,0.59,4.9,2021,4,sandy_loam
575,North,0.53,2.8,2022,7,clay
576,West,0.69,3.5,2022,8,sandy_loam
577,West,0.72,3.3,2023,2,clay
578,North,0.75,2.4,2022,7,clay
579,North,0.76,2.5,2020,3,peat
580,South,0.89,3.6,2020,11,clay
581,South,0.63,3.4,2023,10,sandy_loam
582,North,0.51,4.4,2023,12,clay
583,West,0.69,2.5,2023,11,clay
584,East,0.66,3.0,2023,5,clay
585,South,0.53,3.6,2023,2,sandy_loam
586,West,0.73,3.8,2022,6,sandy_loam
587,East,0.5,3.3,2020,8,clay
588,East,0.61,3.9,2021,10,peat
589,North,0.65,2.5,2023,3,peat
590,South,0.7,4.7,2020,5,peat
591,North,0.82,3.3,2021,10,sandy_loam
592,North,0.82,4.6,2023,11,clay
593,North,0.62,3.1,2021,11,sandy_loam
594,South,0.64,4.3,2021,3,clay
595,West,0.89,5.0,2021,5,sandy_loam
596,East,0.54,2.4,2023,1,clay
597,East,0.78,2.8,2022,5,peat
598,West,0.64,4.2,2023,3,sandy_loam
599,South,0.6,3.7,2022,2,clay
600,East,0.6,2.4,2020,6,clay
601,South,0.82,4.0,2021,1,sandy_loam
602,East,0.89,3.4,2020,9,peat
603,West,0.72,2.5,2021,1,clay
604,South,0.83,2.8,2020,4,sandy_loam
605,North,0.69,2.5,2022,9,peat
606,North,0.89,4.8,2022,1,peat
607,South,0.8,3.5,2023,4,clay
608,North,0.75,3.7,2021,1,clay
609,South,0.84,3.7,2021,2,clay
610,South,0.88,4.2,2020,3,clay
611,East,0.87,2.3,2021,8,clay
612,South,0.79,3.1,2020,5,peat
613,West,0.9,3.1,2020,2,sandy_loam
614,South,0.78,4.3,2023,9,peat
615,East,0.52,4.9,2023,9,peat
616,North,0.8,3.4,2023,4,peat
617,East,0.83,4.0,2023,8,clay
618,North,0.81,2.3,2022,9,peat
619,East,0.74,3.4,2021,4,peat
620,East,0.8,2.8,2021,5,clay
621,West,0.68,3.2,2021,7,clay
622,West,0.62,3.8,2020,12,clay
623,North,0.79,4.8,2020,8,peat
624,North,0.55,2.5,2022,3,peat
625,West,0.58,4.0,2023,12,sandy_loam
626,East,0.61,3.5,2023,4,sandy_loam
627,North,0.81,3.9,2023,7,clay
628,North,0.61,2.4,2020,6,sandy_loam
629,North,0.78,4.4,2023,9,sandy_loam
630,West,0.66,2.9,2020,6,peat
631,East,0.68,3.0,2020,5,sandy_loam
632,East,0.6,5.0,2020,5,peat
633,North,0.56,3.0,2022,9,clay
634,South,0.67,4.2,2023,1,clay
635,West,0.7,3.2,2020,2,clay
636,West,0.57,2.7,2023,8,clay
637,East,0.75,2.5,2021,11,sandy_loam
638,East,0.87,4.4,2020,6,clay
639,North,0.88,3.6,2022,3,sandy_loam
640,West,0.83,4.9,2020,8,peat
641,North,0.51,3.4,2020,12,clay
642,South,0.86,4.8,2023,11,peat
643,East,0.57,2.6,2022,10,sandy_loam
644,East,0.88,2.1,2021,3,clay
645,East,0.64,3.4,2022,1,clay
646,South,0.68,3.2,2020,4,peat
647,West,0.82,4.5,2020,1,peat
648,North,0.71,2.2,2022,6,sandy_loam
649,North,0.65,3.1,2022,1,clay
650,North,0.71,3.0,2023,1,sandy_loam
651,East,0.79,4.1,2020,7,clay
652,West,0.65,2.1,2023,5,clay
653,West,0.63,3.2,2022,5,clay
