des,close_approach_date,dist_km,relative_velocity_km_s,is_potentially_hazardous
NEO78,2025-08-20,192023,4.1,False
NEO79,2025-01-13,59475,4.0,True
NEO80,2025-04-10,145223,8.6,False
NEO81,2025-07-18,217565,7.5,False
NEO82,2025-07-08,259172,11.5,False
NEO83,2025-03-14,275479,4.9,False
NEO84,2025-06-25,99895,10.9,True
NEO85,2025-04-11,220627,13.0,True
NEO86,2025-08-03,99446,8.2,True
NEO87,2025-08-20,33446,6.2,False
NEO88,2025-11-07,219211,6.5,True
NEO89,2025-11-10,212452,4.9,True
NEO90,2025-09-12,81172,5.7,True
NEO91,2025-08-01,97284,4.6,True
NEO92,2025-07-08,105272,6.0,True
NEO93,2025-10-29,275632,7.0,True
NEO94,2025-06-20,175125,11.5,False
NEO95,2025-05-21,91873,10.9,True
NEO96,2025-10-02,89796,10.3,False
NEO97,2025-07-05,296383,3.1,False
NEO98,2025-02-16,298719,10.4,True
NEO99,2025-08-26,126482,4.6,True
NEO100,2025-06-15,179860,11.2,False
NEO101,2025-04-05,113423,4.5,True
NEO102,2025-10-21,224226,5.9,False
NEO103,2025-09-18,80019,8.6,False
NEO104,2025-09-08,138473,14.9,True
NEO105,2025-01-20,129507,7.8,False
NEO106,2025-11-19,175565,14.0,False
NEO107,2025-12-25,72093,9.7,True
NEO108,2025-01-07,267289,4.2,False
NEO109,2025-09-17,114266,13.8,True
NEO110,2025-10-17,36440,6.9,False
NEO111,2025-09-28,276183,9.7,True
NEO112,2025-02-20,112231,11.5,False
NEO113,2025-12-25,174734,12.4,True
NEO114,2025-08-05,215944,9.8,True
NEO115,2025-05-18,49037,12.4,False
NEO116,2025-01-22,172960,4.4,True
NEO117,2025-02-19,73393,9.3,False
NEO118,2025-12-30,158425,3.2,False
NEO119,2025-12-15,154143,12.9,False
NEO120,2025-10-16,138070,5.6,False
NEO121,2025-01-24,70865,4.6,False
NEO122,2025-02-02,101440,3.1,True
NEO123,2025-11-21,101998,12.5,False
NEO124,2025-10-12,70835,4.8,False
NEO125,2025-10-10,246578,10.5,False
NEO126,2025-12-30,236382,13.9,True
NEO127,2025-06-10,146481,5.6,True
NEO128,2025-12-08,141206,10.8,False
NEO129,2025-07-19,197635,14.5,False
NEO130,2025-04-30,59113,12.1,False
NEO131,2025-07-05,264332,10.3,True
NEO132,2025-10-30,232560,12.8,True
NEO133,2025-08-30,80455,4.9,True
NEO134,2025-02-24,212835,7.4,False
NEO135,2025-06-30,280587,13.5,False
NEO136,2025-02-11,155946,12.5,True
NEO137,2025-11-29,299538,13.7,False
NEO138,2025-05-16,287505,4.2,True
NEO139,2025-07-05,126303,5.0,True
NEO140,2025-11-12,221702,8.5,False
NEO141,2025-03-26,173356,13.7,False
NEO142,2025-10-27,93606,10.8,False
NEO143,2025-03-19,131688,3.7,True
NEO144,2025-03-18,217788,6.8,True
NEO145,2025-06-24,189005,7.0,True
NEO146,2025-09-18,150120,11.8,True
NEO147,2025-08-16,260301,6.4,False
NEO148,2025-04-19,154577,14.0,True
NEO149,2025-07-29,118520,12.8,False
NEO150,2025-02-12,272319,11.0,False
NEO151,2025-09-01,203169,11.1,True
NEO152,2025-06-26,271190,11.8,False
NEO153,2025-04-27,158455,11.3,False
NEO154,2025-12-15,202711,4.7,False
NEO155,2025-02-08,296660,14.2,False
NEO156,2025-01-21,177250,14.0,True
NEO157,2025-02-19,200250,4.1,False
NEO158,2025-08-16,261783,8.3,True
NEO159,2025-01-31,182206,11.3,True
NEO160,2025-09-25,294233,9.3,True
NEO161,2025-05-10,149789,6.0,True
NEO162,2025-04-29,193931,14.2,True
NEO163,2025-03-17,83209,6.4,False
NEO164,2025-02-08,88107,10.9,False
NEO165,2025-05-30,63000,11.3,False
NEO166,2025-01-09,134229,10.1,False
NEO167,2025-11-12,73998,12.9,False
NEO168,2025-03-15,270053,3.1,True
NEO169,2025-03-17,122710,6.8,False
NEO170,2025-07-09,32165,12.8,True
NEO171,2025-10-03,268102,13.1,False
NEO172,2025-11-08,152005,4.7,True
NEO173,2025-03-18,53637,8.2,True
NEO174,2025-09-24,215951,5.5,True
NEO175,2025-10-07,56910,13.8,False
NEO176,2025-07-09,125097,13.5,False
NEO177,2025-10-11,98823,8.6,False
NEO178,2025-06-22,170078,5.7,False
NEO179,2025-05-25,275407,8.1,False
NEO180,2025-05-07,97332,8.2,True
NEO181,2025-10-17,43643,12.0,True
NEO182,2025-09-21,106450,4.4,True
NEO183,2025-07-14,189402,5.9,True
NEO184,2025-10-31,260140,4.4,True
NEO185,2025-04-29,220856,10.0,True
NEO186,2025-07-29,90692,13.4,True
NEO187,2025-07-10,263551,6.2,True
NEO188,2025-11-15,89930,10.8,True
NEO189,2025-01-11,231818,4.9,False
NEO190,2025-12-13,104340,8.3,False
NEO191,2025-10-11,287426,6.5,False
NEO192,2025-08-07,252124,6.6,False
NEO193,2025-12-26,197614,8.7,True
NEO194,2025-08-28,236301,6.5,False
NEO195,2025-09-19,245292,14.1,False
NEO196,2025-04-12,198498,14.5,True
NEO197,2025-08-14,203259,12.9,False
NEO198,2025-05-16,265067,5.9,False
NEO199,2025-03-20,273701,12.4,True
NEO200,2025-11-14,81156,11.7,False
NEO201,2025-08-10,293682,12.1,False
NEO202,2025-08-06,294202,4.8,True
NEO203,2025-05-14,124667,5.6,False
NEO204,2025-09-18,252532,9.5,False
NEO205,2025-01-27,49011,14.3,True
NEO206,2025-08-18,166570,12.7,True
NEO207,2025-06-30,283267,6.4,True
NEO208,2025-12-22,285595,3.6,True
NEO209,2025-12-01,216187,14.6,False
NEO210,2025-05-31,184109,5.4,False
NEO211,2025-10-26,291181,11.7,True
NEO212,2025-12-04,46587,11.7,False
NEO213,2025-11-26,188476,11.3,True
NEO214,2025-05-07,264168,5.6,False
NEO215,2025-03-24,242176,12.5,True
NEO216,2025-08-18,223259,5.6,False
NEO217,2025-05-18,238426,11.9,False
NEO218,2025-05-04,163810,11.3,False
NEO219,2025-10-18,205354,13.5,True
NEO220,2025-05-27,112780,11.0,False
NEO221,2025-09-06,183957,11.4,False
NEO222,2025-08-15,232400,10.2,False
NEO223,2025-09-03,129808,9.3,True
NEO224,2025-08-16,220952,9.6,True
NEO225,2025-05-27,215659,7.7,True
NEO226,2025-01-31,61980,11.0,False
NEO227,2025-09-15,186820,10.3,True
NEO228,2025-09-04,276721,3.5,False
NEO229,2025-09-09,131696,5.2,True
NEO230,2025-08-07,207952,12.4,True
NEO231,2025-05-12,234349,10.4,False
NEO232,2025-10-11,181998,4.9,False
NEO233,2025-03-12,125402,11.9,False
NEO234,2025-11-04,158166,11.2,False
NEO235,2025-06-18,105248,11.4,True
NEO236,2025-02-14,290547,12.3,True
NEO237,2025-07-01,286530,10.1,False
NEO238,2025-08-10,148464,7.7,False
NEO239,2025-08-01,287595,11.9,True
NEO240,2025-08-17,247468,3.7,False
NEO241,2025-06-10,298067,9.6,True
NEO242,2025-01-20,85820,10.4,True
NEO243,2025-03-20,286475,6.1,True
NEO244,2025-07-10,224356,13.7,True
NEO245,2025-04-06,64982,12.9,True
NEO246,2025-09-24,211963,13.1,True
NEO247,2025-06-02,267540,14.3,False
NEO248,2025-12-31,216394,9.0,False
NEO249,2025-07-14,209079,6.6,True
NEO250,2025-09-10,245264,4.8,False
NEO251,2025-11-04,150873,6.0,True
NEO252,2025-07-21,249503,5.8,False
NEO253,2025-07-01,104064,6.5,False
NEO254,2025-03-21,79445,13.5,True
NEO255,2025-10-22,128758,11.7,True
NEO256,2025-12-08,180131,11.1,True
NEO257,2025-07-27,90369,7.8,False
NEO258,2025-05-28,37741,9.5,False
NEO259,2025-03-06,229597,3.6,True
NEO260,2025-02-10,97366,14.5,False
NEO261,2025-09-23,189701,9.3,False
NEO262,2025-10-05,200904,13.8,True
NEO263,2025-01-06,247584,4.5,False
NEO264,2025-05-01,126608,10.7,False
NEO265,2025-10-22,164783,3.3,False
NEO266,2025-12-08,193092,11.7,True
NEO267,2025-06-04,99978,12.0,True
NEO268,2025-11-13,248118,4.1,False
NEO269,2025-10-26,278156,9.0,False
NEO270,2025-09-13,95557,5.0,False
NEO271,2025-12-27,246258,6.8,False
NEO272,2025-04-27,289675,12.7,False
NEO273,2025-05-05,156903,14.8,False
NEO274,2025-04-07,161878,10.9,True
NEO275,2025-12-27,63203,9.7,True
NEO276,2025-02-26,205730,6.0,True
NEO277,2025-12-11,43495,14.8,True
NEO278,2025-05-07,150713,14.4,True
NEO279,2025-10-08,299553,4.9,True
NEO280,2025-02-24,232798,8.8,False
NEO281,2025-02-16,246086,5.2,True
NEO282,2025-01-24,286180,3.5,True
NEO283,2025-12-05,101837,10.3,True
NEO284,2025-12-01,152872,5.4,True
NEO285,2025-05-28,234366,14.8,False
NEO286,2025-10-29,95093,3.8,True
NEO287,2025-08-28,93482,12.0,False
NEO288,2025-10-13,188735,11.4,False
NEO289,2025-01-09,181392,12.3,False
NEO290,2025-05-18,258620,4.1,False
NEO291,2025-04-26,77504,5.2,True
NEO292,2025-06-28,251067,8.0,True
NEO293,2025-12-14,242481,14.3,True
NEO294,2025-01-14,222987,12.0,False
NEO295,2025-11-22,149030,11.9,False
NEO296,2025-01-20,94158,4.3,False
NEO297,2025-02-02,79851,14.8,True
NEO298,2025-10-01,107245,7.6,True
NEO299,2025-08-22,211371,11.8,False
NEO300,2025-10-06,31233,3.1,False
NEO301,2025-01-25,160947,7.8,True
NEO302,2025-01-20,224719,5.1,False
NEO303,2025-11-12,150284,10.1,True
NEO304,2025-07-27,150264,5.2,True
NEO305,2025-10-14,186521,12.1,True
NEO306,2025-05-11,279433,5.6,True
NEO307,2025-05-05,177548,8.0,True
NEO308,2025-06-02,54002,3.2,True
NEO309,2025-06-26,231916,12.5,True
NEO310,2025-08-17,280010,7.9,False
NEO311,2025-12-22,130693,7.1,False
NEO312,2025-02-12,252730,14.5,False
NEO313,2025-08-07,95621,13.5,False
NEO314,2025-11-17,184228,13.2,True
NEO315,2025-09-29,36006,14.5,False
NEO316,2025-03-29,262158,5.9,False
NEO317,2025-02-12,282508,12.6,True
NEO318,2025-02-08,73788,12.5,True
NEO319,2025-09-04,263583,6.5,False
NEO320,2025-02-04,94641,4.4,False
NEO321,2025-01-11,270846,9.8,False
NEO322,2025-01-04,220783,7.1,False
NEO323,2025-12-21,125415,10.5,False
NEO324,2025-03-17,91618,5.6,True
NEO325,2025-03-02,266097,6.5,True
NEO326,2025-08-29,192336,4.3,True
NEO327,2025-10-29,37077,8.1,True
NEO328,2025-09-08,251856,14.3,True
NEO329,2025-08-17,266726,5.7,True
NEO330,2025-10-23,245692,14.1,False
NEO331,2025-08-24,68038,7.0,False
NEO332,2025-09-29,132977,6.2,False
NEO333,2025-02-25,143460,12.8,False
NEO334,2025-09-09,217008,8.1,True
NEO335,2025-07-23,290163,9.0,True
NEO336,2025-06-02,249040,4.9,True
NEO337,2025-10-29,92211,4.0,True
NEO338,2025-03-31,239533,11.6,False
NEO339,2025-11-03,170603,5.5,True
NEO340,2025-02-21,120595,5.6,False
NEO341,2025-04-28,40618,13.6,True
NEO342,2025-08-21,39572,11.9,False
NEO343,2025-02-10,171103,4.6,True
NEO344,2025-02-13,293060,8.0,True
NEO345,2025-06-10,196896,5.3,True
NEO346,2025-08-08,168278,14.6,True
NEO347,2025-05-20,155113,5.4,False
NEO348,2025-01-04,118863,9.7,True
NEO349,2025-06-18,255395,8.0,True
NEO350,2025-02-17,138108,6.6,False
NEO351,2025-11-20,205906,3.6,False
NEO352,2025-01-11,94261,12.1,False
NEO353,2025-01-07,50781,8.6,True
NEO354,2025-11-04,280513,14.7,True
NEO355,2025-04-26,141690,12.4,True
NEO356,2025-08-16,170144,11.2,True
NEO357,2025-05-27,100436,6.5,False
NEO358,2025-01-13,222824,6.0,False
NEO359,2025-05-29,130713,6.2,False
NEO360,2025-04-09,45131,6.1,True
NEO361,2025-07-09,75395,6.1,False
NEO362,2025-05-01,60999,4.0,False
NEO363,2025-12-10,80257,12.0,False
NEO364,2025-05-01,33240,12.7,True
NEO365,2025-09-04,178140,14.4,True
NEO366,2025-07-05,297523,14.7,True
NEO367,2025-02-17,267091,10.9,False
NEO368,2025-02-07,267789,10.8,False
NEO369,2025-10-10,68682,4.0,True
NEO370,2025-04-12,63013,12.9,False
NEO371,2025-06-07,287418,7.8,False
NEO372,2025-08-25,234312,14.4,True
NEO373,2025-10-19,267385,13.7,True
NEO374,2025-10-09,273113,5.2,True
NEO375,2025-11-15,136234,3.9,True
NEO376,2025-02-02,217120,6.0,False
NEO377,2025-02-14,207731,5.4,True
NEO378,2025-09-10,68793,5.1,False
NEO379,2025-12-03,252768,3.5,True
NEO380,2025-08-12,119297,10.0,True
NEO381,2025-03-08,172864,8.9,True
NEO382,2025-12-24,35852,6.6,False
NEO383,2025-11-09,85754,14.4,True
NEO384,2025-08-23,237548,4.0,False
NEO385,2025-06-08,115018,13.7,True
NEO386,2025-08-21,248334,11.8,False
NEO387,2025-05-07,36251,4.0,True
NEO388,2025-10-20,133115,3.1,False
NEO389,2025-08-28,220828,7.6,True
NEO390,2025-05-13,157119,11.3,False
NEO391,2025-08-26,158762,14.2,False
NEO392,2025-08-25,88982,11.5,False
NEO393,2025-07-01,178834,3.2,True
NEO394,2025-11-13,168112,14.1,False
NEO395,2025-01-09,200027,7.1,True
NEO396,2025-01-26,157736,7.4,False
NEO397,2025-12-10,236861,11.1,True
NEO398,2025-12-16,131185,10.6,False
NEO399,2025-03-15,285034,10.6,True
NEO400,2025-05-13,136017,14.8,False
NEO401,2025-05-14,92597,12.7,True
NEO402,2025-03-13,149624,6.9,False
NEO403,2025-12-06,123924,6.3,True
NEO404,2025-05-28,142957,12.1,False
NEO405,2025-03-01,274894,12.3,False
NEO406,2025-03-08,197853,10.2,True
NEO407,2025-12-12,292098,12.0,False
NEO408,2025-11-22,278048,13.5,True
NEO409,2025-12-24,93068,6.0,True
NEO410,2025-08-09,86907,8.5,False
NEO411,2025-08-03,127993,6.5,True
NEO412,2025-03-21,275813,10.0,False
NEO413,2025-06-19,246261,7.3,True
NEO414,2025-06-09,56747,5.3,False
NEO415,2025-07-22,206968,11.2,True
NEO416,2025-09-17,290331,7.7,True
NEO417,2025-05-06,101682,12.1,False
NEO418,2025-09-13,38585,4.9,True
NEO419,2025-03-13,100798,5.1,True
NEO420,2025-11-08,165421,6.5,True
NEO421,2025-02-06,119014,9.2,True
NEO422,2025-12-23,179790,7.5,True
NEO423,2025-02-02,74160,9.5,True
NEO424,2025-03-11,141581,5.8,False
NEO425,2025-06-29,171937,11.9,True
NEO426,2025-05-12,206976,4.1,True
NEO427,2025-08-23,237235,3.7,False
NEO428,2025-12-31,184120,4.4,True
NEO429,2025-04-11,62575,7.6,False
NEO430,2025-05-08,170789,10.2,False
NEO431,2025-08-26,188804,5.8,False
NEO432,2025-04-11,129813,9.7,False
NEO433,2025-02-10,264657,14.4,False
NEO434,2026-01-01,213403,6.0,True
NEO435,2025-03-21,173435,9.0,True
NEO436,2025-11-01,89774,9.0,False
NEO437,2025-08-14,288454,8.7,False
NEO438,2025-05-04,294007,15.0,False
NEO439,2025-08-05,127023,12.1,False
NEO440,2025-03-02,35001,13.4,False
NEO441,2025-03-29,241787,9.9,False
NEO442,2025-12-11,215073,6.4,True
NEO443,2025-06-23,90138,9.1,False
NEO444,2025-07-12,35304,6.2,False
NEO445,2025-07-27,80458,5.4,False
NEO446,2025-08-27,228727,13.1,True
NEO447,2025-10-14,264192,5.3,True
NEO448,2025-12-18,251116,9.1,True
NEO449,2025-04-25,98267,4.4,True
NEO450,2025-02-28,284962,12.5,False
NEO451,2025-10-11,187015,13.8,False
NEO452,2025-07-07,275588,7.1,True
NEO453,2025-12-20,150837,7.1,True
NEO454,2025-05-20,44185,9.6,False
NEO455,2025-04-12,179901,13.9,True
NEO456,2025-05-11,55444,13.2,True
NEO457,2025-05-26,188512,4.1,False
NEO458,2025-05-20,140904,8.1,False
NEO459,2025-10-01,208560,6.7,False
NEO460,2025-05-24,84677,14.7,True
NEO461,2025-07-16,147391,5.5,True
NEO462,2025-05-07,200247,10.4,True
NEO463,2025-01-07,123845,11.4,False
NEO464,2025-05-14,64490,7.3,True
NEO465,2025-04-25,44066,3.5,True
NEO466,2025-01-11,230281,7.9,False
NEO467,2025-07-03,230364,14.1,True
NEO468,2025-09-19,67150,5.7,False
NEO469,2025-06-06,205733,12.7,False
NEO470,2025-12-03,279314,3.2,True
NEO471,2025-01-03,122003,7.4,False
NEO472,2025-07-05,118701,5.1,True
NEO473,2025-07-30,54983,7.7,False
NEO474,2025-12-23,121867,6.2,True
NEO475,2025-05-08,117389,11.0,True
NEO476,2025-11-09,267015,9.2,True
NEO477,2025-09-22,210239,10.2,False
NEO478,2025-01-03,241704,8.3,False
NEO479,2025-10-15,37736,6.0,True
NEO480,2025-07-03,188534,11.9,False
NEO481,2025-03-27,210257,9.5,False
NEO482,2025-08-01,122998,10.3,False
NEO483,2025-06-12,172586,5.9,False
NEO484,2025-04-14,135605,5.7,True
NEO485,2025-12-01,88305,11.6,True
NEO486,2025-09-07,269664,8.7,True
NEO487,2025-06-21,142132,11.8,True
NEO488,2025-11-21,198125,3.5,False
NEO489,2025-09-07,199240,13.0,True
NEO490,2025-06-30,165738,7.2,False
NEO491,2025-10-16,189180,3.5,True
NEO492,2025-06-19,50268,6.7,False
NEO493,2025-12-09,42490,12.9,True
NEO494,2025-04-02,49168,9.6,False
NEO495,2025-07-26,198690,8.7,False
NEO496,2025-09-16,113183,6.4,True
NEO497,2025-10-27,259803,14.2,True
NEO498,2025-04-14,191155,5.1,True
NEO499,2025-09-29,272555,4.7,True
NEO500,2025-05-28,150461,5.0,True
NEO501,2025-12-06,121432,5.1,False
NEO502,2025-10-28,204596,8.0,False
NEO503,2025-02-09,209500,9.9,True
NEO504,2025-05-04,86431,4.6,False
NEO505,2025-02-11,136900,9.4,False
NEO506,2025-10-17,94252,7.1,True
NEO507,2025-10-09,154807,13.3,True
NEO508,2025-04-06,271233,9.1,True
NEO509,2025-09-19,111563,13.3,True
NEO510,2025-05-08,115290,14.5,False
NEO511,2025-12-22,179380,7.8,True
NEO512,2025-03-17,38053,12.0,True
NEO513,2025-03-18,203536,7.2,False
NEO514,2025-09-06,62689,8.5,True
NEO515,2025-08-27,121075,11.3,True
NEO516,2025-09-16,235751,6.3,True
NEO517,2025-12-24,53780,5.6,False
NEO518,2025-06-24,193959,3.9,True
NEO519,2025-11-24,106339,6.7,False
NEO520,2025-01-26,114934,13.8,False
NEO521,2025-04-26,86881,12.6,False
NEO522,2025-12-17,252034,7.2,False
NEO523,2025-06-08,244451,6.7,False
NEO524,2025-10-25,223310,6.7,False
NEO525,2025-11-27,204594,14.8,False
NEO526,2025-09-03,219041,5.6,True
NEO527,2025-06-21,32561,3.7,False
NEO528,2025-03-03,102285,8.9,True
NEO529,2025-08-31,190292,12.7,True
NEO530,2025-02-01,69739,4.9,False
NEO531,2025-03-14,299616,10.3,True
NEO532,2025-12-06,217040,6.7,False
NEO533,2025-11-03,106750,4.8,False
NEO534,2025-02-01,285946,10.4,False
NEO535,2025-05-20,281717,13.5,False
NEO536,2025-08-04,178777,11.3,False
NEO537,2025-12-07,270997,5.2,True
NEO538,2025-06-01,215959,7.1,False
NEO539,2025-07-10,72318,5.9,True
NEO540,2025-08-22,218183,9.7,False
NEO541,2025-08-28,220333,8.0,False
NEO542,2025-03-22,123927,8.2,True
NEO543,2025-03-17,278975,9.6,False
NEO544,2025-07-11,206671,14.6,True
NEO545,2025-06-11,70867,9.6,False
NEO546,2025-05-13,143683,14.1,False
NEO547,2025-03-21,140359,6.5,True
NEO548,2025-04-06,144236,7.3,False
NEO549,2025-09-24,146051,14.9,True
NEO550,2025-04-14,294451,12.6,False
NEO551,2025-08-27,128389,13.3,True
NEO552,2025-06-21,119557,10.2,True
NEO553,2025-11-08,242427,13.0,True
NEO554,2025-11-07,144076,3.3,False
NEO555,2025-09-01,285057,13.0,False
NEO556,2025-03-29,133918,3.5,True
NEO557,2025-05-31,118256,6.7,True
NEO558,2025-03-04,103684,8.5,False
NEO559,2025-09-30,105308,7.9,False
NEO560,2026-01-01,204528,10.0,True
NEO561,2025-11-12,261599,10.9,False
NEO562,2025-03-27,154786,10.3,False
NEO563,2025-06-17,35558,7.7,True
NEO564,2025-09-17,65478,12.8,True
NEO565,2026-01-01,67116,3.6,False
NEO566,2025-08-17,239675,10.8,True
NEO567,2025-09-07,89240,4.4,True
NEO568,2025-03-09,186066,3.4,True
NEO569,2025-07-15,72781,12.7,True
NEO570,2025-09-12,193360,11.6,True
NEO571,2025-07-27,217623,14.3,False
NEO572,2025-03-16,187998,6.8,False
NEO573,2025-02-12,92042,7.5,False
NEO574,2025-01-16,119176,8.1,True
NEO575,2025-05-24,198988,13.0,True
NEO576,2025-02-11,294483,8.8,True
NEO577,2025-05-04,202381,9.4,False
NEO578,2025-12-29,67991,13.4,False
NEO579,2025-01-24,95501,11.2,True
NEO580,2025-06-04,279263,11.1,False
NEO581,2025-06-28,68817,9.5,False
NEO582,2025-09-08,282044,6.7,False
NEO583,2025-12-24,32489,6.6,True
NEO584,2025-12-14,297604,11.4,True
NEO585,2025-12-14,134183,4.2,False
NEO586,2025-10-12,184583,12.1,True
NEO587,2025-05-24,67837,13.1,True
NEO588,2025-01-17,78995,9.2,False
NEO589,2025-11-25,118138,4.1,False
NEO590,2025-10-19,291606,10.7,True
NEO591,2025-05-05,271602,8.3,True
NEO592,2025-11-04,192148,5.3,True
NEO593,2025-01-21,160628,12.5,False
NEO594,2025-07-31,200655,6.9,True
NEO595,2025-12-11,162290,14.3,True
NEO596,2025-03-16,209940,10.8,False
NEO597,2025-08-14,250096,11.7,True
NEO598,2025-09-10,217685,10.0,True
NEO599,2025-04-26,101913,7.8,True
NEO600,2025-05-16,56746,13.3,True
NEO601,2025-03-04,202597,5.5,True
NEO602,2025-04-10,82587,11.2,False
NEO603,2025-08-23,299177,9.1,False
NEO604,2025-04-11,30181,13.6,True
NEO605,2025-06-18,201635,5.5,True
NEO606,2025-06-02,284528,9.2,False
NEO607,2025-02-16,171366,13.7,True
NEO608,2025-01-09,278158,13.6,False
NEO609,2025-11-28,282272,13.2,False
NEO610,2025-10-17,182002,13.6,False
NEO611,2025-05-19,288050,8.2,False
NEO612,2025-01-21,36239,13.2,False
NEO613,2025-07-09,235817,4.2,False
NEO614,2025-07-25,154165,4.2,True
NEO615,2025-07-26,77177,11.3,False
NEO616,2025-03-17,103273,3.8,False
NEO617,2025-04-22,261833,7.0,False
NEO618,2025-01-29,189549,4.9,True
NEO619,2025-11-21,148687,8.8,False
NEO620,2025-11-11,293829,6.9,True
NEO621,2025-05-26,217862,5.0,True
NEO622,2025-11-06,181516,11.3,True
NEO623,2025-08-28,159412,8.2,True
NEO624,2025-04-23,224871,5.9,False
NEO625,2025-02-24,117803,14.2,True
NEO626,2025-08-25,146861,9.6,True
NEO627,2025-07-25,294548,5.2,True
NEO628,2025-12-05,115833,8.1,True
NEO629,2025-04-28,138715,5.0,True
NEO630,2025-05-22,153715,4.5,False
NEO631,2025-01-19,294621,3.2,False
NEO632,2025-04-22,242929,14.7,True
NEO633,2025-04-27,261817,13.1,False
NEO634,2025-02-21,153974,5.0,False
NEO635,2025-10-20,294583,9.2,True
NEO636,2025-04-23,221640,13.8,False
NEO637,2025-12-14,291478,7.2,True
NEO638,2025-11-26,97464,7.4,True
NEO639,2025-12-22,283502,7.4,False
NEO640,2025-06-13,289281,14.5,False
NEO641,2025-08-04,186027,12.4,True
NEO642,2025-12-26,160706,13.0,True
NEO643,2025-12-04,119467,13.2,True
NEO644,2025-02-21,197790,5.8,False
NEO645,2025-06-06,72239,3.6,False
NEO646,2025-01-31,270360,9.4,True
NEO647,2025-04-16,271194,12.4,False
NEO648,2025-05-03,212584,12.7,False
NEO649,2025-10-09,86945,3.9,True
NEO650,2025-12-30,48338,3.1,True
NEO651,2025-03-28,144179,5.6,True
NEO652,2025-04-20,188097,14.9,False
NEO653,2025-01-23,35157,12.6,True
NEO654,2025-08-11,118586,3.2,True
NEO655,2025-03-10,64422,3.7,False
NEO656,2025-04-06,69893,12.0,False
NEO657,2025-10-18,206981,4.5,True
NEO658,2025-02-17,290656,14.1,True
NEO659,2025-10-24,103286,3.1,True
NEO660,2025-08-28,262511,5.7,False
NEO661,2025-02-17,280802,10.0,False
NEO662,2025-08-29,92146,13.7,True
NEO663,2025-01-09,75931,10.6,True
